;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
GRASP;5;10;BN + Relocation;295;843.2171609841682;187;820.0925074959611;628;773.6614081408095;361;765.1152220245008;589;778.0984435869923;379;771.1222060384371;931;1700.8594247443216;696;1651.7299579415717;1995;1429.4155770788007;1346;1417.3270569104523;2710;2009.2150530497959;1651;1971.3142844931856;
GRASP;5;10;BN + Interroute;62;1013.6173968725947;48;947.9010323419628;136;924.0015327395022;78;889.8249662763587;196;968.4720605519863;145;914.3543509640897;345;1828.7697755405134;189;1773.4388049738066;441;1698.1101171403093;336;1601.8708029128952;924;2224.2987637546553;460;2181.8968095174478;
GRASP;5;10;BN + IntrarouteSwap;10;1084.8659726671644;8;1006.5037274660309;28;1000.2589566483466;15;981.0328791031786;34;1109.5086162578014;25;1037.6664114909356;36;2023.7460210806112;23;1969.0356776266904;36;1856.1173175854117;30;1734.1683260780082;77;2411.347151032248;44;2354.400252037288;
GRASP;5;10;BN + TwoOpt;8;1047.6938640328412;5;990.4210229437751;24;970.2223436338824;17;920.5430331254387;42;1038.6150624955887;28;985.1384293212782;27;2029.234857040357;14;1978.9577911672902;47;1819.9858269476233;36;1780.578067357905;72;2371.3680991271385;36;2314.474031598822;
GRASP;5;10;FBN + Relocation;62;961.5611705033953;41;928.4613318691713;251;825.1842245163986;211;799.3974749257492;316;846.5661265436169;236;807.2195385392317;335;1903.8207476499624;274;1839.311389470242;644;1620.2027523358345;479;1564.8701622579097;1184;2192.2528677178684;792;2138.7373027561407;
GRASP;5;10;FBN + InterrouteSwap;27;1019.5208169536672;19;980.1820921542596;82;927.9256858123808;62;884.6223335378228;122;987.2687245253808;75;945.0786569386055;228;1824.3348206353864;116;1788.2557131209248;312;1641.3490828145823;165;1602.8134542647626;582;2190.3027706295297;406;2156.8259075282367;
GRASP;5;10;FBN + IntrarouteSwap;6;1075.5136227713242;4;1033.7876360346013;18;1029.796118029353;13;1011.7840118971056;23;1124.3611580485608;21;1037.6032853548586;31;2023.138237145872;20;1982.787392997347;33;1888.9610747428621;24;1849.0432083321941;64;2451.2278576367435;40;2386.6883216719407;
GRASP;5;10;FBN + TwoOpt;7;1099.9922682675083;3;1014.950558268162;17;979.5100945658041;15;950.1904303287955;24;1079.209951552134;14;1002.2042599120927;17;1952.3301985923506;15;1936.0220120073968;31;1818.7670197336506;17;1738.2700742948737;42;2360.8899160808623;31;2292.1604200234733;
