;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;I.W.I;L.S;ITERATION;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;
MULTIBOOT;10;BN + IntrarouteSwap;4;12;22;7;11;1248.68622209005;5;15;5;13;1178.1169264874147;10;20;12;26;1596.690014177783;10;20;19;30;2394.2496625981553;14;24;37;61;2263.7479920869;5;15;20;55;3226.101630147901;
MULTIBOOT;10;BN + IntrarouteSwap;5;1;11;1;4;1364.9475480880847;8;18;6;14;1193.31855250217;1;11;9;25;1567.0713028047894;1;11;2;19;2309.8499546614876;1;11;4;28;2287.8471868169195;4;14;15;48;3055.349300509848;
MULTIBOOT;10;BN + IntrarouteSwap;6;7;17;2;6;1298.1207260232636;8;18;8;22;1146.7957775947752;8;18;13;25;1514.9063569055434;8;18;14;30;2381.3784727665643;15;25;28;46;2269.1111691848587;9;19;38;73;2979.4972783230164;
MULTIBOOT;10;BN + IntrarouteSwap;7;16;26;12;15;1203.15405168237;1;11;1;9;1172.75236410229;16;26;19;33;1611.055754692159;12;22;41;54;2347.960976738707;3;13;8;33;2232.3265653280664;4;14;14;51;3045.9070642144575;
MULTIBOOT;10;BN + IntrarouteSwap;8;3;13;1;7;1294.2874049293732;10;20;11;18;1169.5954381108197;3;13;4;28;1552.6996979143207;9;19;21;35;2321.333568006493;3;13;6;27;2304.352371758988;5;15;35;94;3109.0038928934696;
MULTIBOOT;10;BN + IntrarouteSwap;9;11;21;6;10;1246.4961002255952;19;29;20;38;1161.8230055925967;3;13;5;23;1608.331542341348;5;15;17;35;2401.1541662877476;1;11;3;57;2250.1919825485193;12;22;59;202;3105.337548676132;
MULTIBOOT;10;BN + IntrarouteSwap;10;9;19;5;10;1283.6062995817492;20;30;20;28;1171.9610595634863;11;21;18;31;1665.838792155431;9;19;11;23;2339.7620412657993;5;15;9;32;2251.9011766735957;4;14;17;60;3144.57530620871;
MULTIBOOT;10;BN + TwoOpt;1;16;26;18;27;1262.7434857338121;7;17;12;31;1145.8467662073897;11;21;44;72;1531.8609569754778;11;21;38;51;2328.6671320678197;4;14;8;34;2306.3188926955904;7;17;23;53;2933.871233827371;
MULTIBOOT;10;BN + TwoOpt;2;4;14;3;6;1273.6962279370653;11;21;10;16;1109.0964146974243;11;21;10;18;1600.0374497171126;14;24;13;21;2366.9589125773437;4;14;6;33;2252.615726065322;11;21;40;73;3029.332600678167;
MULTIBOOT;10;BN + TwoOpt;3;1;11;1;4;1314.7530140786525;18;28;11;17;1099.9357008588904;4;14;5;17;1500.290308467891;5;15;4;14;2309.01938239357;10;20;27;46;2194.9606704187245;20;30;51;87;2962.3337798362136;
MULTIBOOT;10;BN + TwoOpt;4;12;22;4;9;1230.3218456114234;13;23;10;17;1142.3568508808867;2;12;3;16;1508.9748451457529;5;15;4;14;2343.9630639970615;1;11;2;20;2217.738451059606;14;24;33;57;2920.5145208447248;
MULTIBOOT;10;BN + TwoOpt;5;22;32;7;10;1246.4056646224594;8;18;5;14;1107.575117782234;8;18;12;23;1571.6972403372308;6;16;10;23;2315.408012170791;13;23;22;49;2162.173562452923;10;20;26;83;3012.518029362102;
MULTIBOOT;10;BN + TwoOpt;6;10;20;4;8;1236.9540077738611;13;23;10;18;1133.8885468258384;2;12;3;14;1606.8758296447872;13;23;11;20;2328.5671614975518;17;27;32;55;2202.570341166539;3;13;10;47;2946.5950550199177;
