;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
GRASP;3;5;BN + Relocation;137;857.2493640543283;65;823.9991917368621;313;784.2597758752667;195;772.1965850542324;262;775.4812710932363;167;768.7187147011803;489;1694.0659010368213;253;1650.0922390834805;605;1451.4241053521625;339;1397.5197493204175;808;2047.625769478335;530;2013.7226160364735;
GRASP;3;5;BN + Interroute;41;1005.4899986043534;7;964.5547401103968;75;888.8607463042981;49;835.593531271196;125;911.3101403307164;57;880.8865326513367;141;1811.4981305482256;109;1732.503587487963;180;1684.1405743522337;109;1660.2710773490326;437;2177.1526093375383;289;2151.7451860932183;
GRASP;3;5;BN + IntrarouteSwap;31;1021.5153610927762;7;934.0041333340168;17;955.7926546849574;5;926.496077331356;30;1007.9967478429847;19;982.868050495199;26;1919.735885803221;19;1885.9434799108867;37;1688.231561215275;21;1640.3653132519858;60;2244.1586486082;34;2217.3495861013157;
GRASP;3;5;BN + TwoOpt;20;1024.241030713321;4;1002.5225453142951;11;928.4711215996012;4;885.0640564044659;23;973.4716571483307;12;909.3200191570714;22;1886.8390272687516;9;1854.9287195182574;33;1635.196294424833;24;1611.473220904027;58;2168.9403522035236;43;2063.9914088221635;
GRASP;3;5;FBN + Relocation;64;946.553626919221;42;855.9359530622655;143;823.4163863179696;73;794.4401997908365;307;853.272895893567;150;812.4355452260098;256;1856.7438697247308;173;1826.5382449337192;461;1576.6125983803959;351;1490.1298095229288;424;2260.401998089923;292;2169.1680925700157;
GRASP;3;5;FBN + InterrouteSwap;30;996.1850896874957;8;961.5535814249876;100;885.1452132078878;31;856.287967395553;91;933.7965270284519;37;886.5647926077062;211;1811.5461070319136;149;1776.7132954586314;263;1629.580960186213;190;1610.2334128799885;466;2180.0269554275915;315;2143.26423983698;
GRASP;3;5;FBN + IntrarouteSwap;5;1048.2326786992987;3;1030.5765045432468;12;919.0273545193035;6;887.5340488568804;18;1020.6545114589978;8;983.1932324721802;20;1887.00311584359;17;1848.6435214779392;25;1750.6231100424077;16;1691.1176807780082;49;2268.501101133957;28;2206.854821958289;
GRASP;3;5;FBN + TwoOpt;3;1052.9507903754038;2;1008.3167844486761;10;926.6341570235329;5;875.4058203727716;8;986.4680167429103;5;911.9488405915371;21;1897.133376980391;8;1830.8457491547665;18;1652.016208438835;13;1529.2958839224186;34;2147.177878272765;14;2054.25043574894;
