;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;I.W.I;L.S;ITERATION;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;
MULTIBOOT;50;BN + Relocation;1;23;73;361;798;789.0622126310831;55;105;835;1547;763.6795274417674;49;99;1183;2330;758.1956374342553;66;116;2245;3930;1647.393202927418;46;96;2286;4661;1354.6593469458762;59;109;6288;11615;1984.6411843933722;
MULTIBOOT;50;BN + Relocation;2;9;59;54;330;833.0916218478022;12;62;205;874;788.7300458359857;8;58;225;1395;778.0506854492614;19;69;708;2565;1715.3327842109402;42;92;2148;4628;1422.1236506754462;51;101;5400;10818;1952.0114185758573;
MULTIBOOT;50;BN + Relocation;3;72;122;419;692;833.4991601558627;29;79;463;1164;760.0613393236924;33;83;815;2218;777.011864258058;64;114;2340;4049;1657.6514510286927;31;81;1588;4142;1409.1877710959961;53;103;5875;11482;1954.1531809696141;
MULTIBOOT;50;BN + Relocation;4;42;92;235;489;806.5512073021426;46;96;727;1469;757.5953541825997;53;103;1476;3371;762.5386040604172;1;51;56;2516;1675.2389443403501;22;72;1265;3840;1429.8649799327632;5;55;607;6586;1974.3524121773034;
MULTIBOOT;50;BN + Relocation;5;37;87;203;456;838.070191947384;5;55;103;828;777.1825913890401;46;96;1545;3009;753.2571774228277;52;102;2384;4087;1684.1714133153416;43;93;2173;4914;1357.0235825606096;2;52;246;5898;2014.2864635799435;
MULTIBOOT;50;BN + Relocation;6;16;66;89;346;814.4546170797861;19;69;316;989;768.2606551751084;116;166;3087;4324;759.6208229963207;42;92;1490;3285;1713.5563914636673;15;65;770;3226;1375.7248792149207;69;119;8093;13866;1882.6973209913522;
MULTIBOOT;50;BN + Relocation;7;55;105;262;491;834.4700393545578;113;163;1475;2105;771.4504448814006;44;94;978;2100;768.9314189524592;37;87;1215;2800;1688.9906229679036;1;51;53;2399;1417.6609096213701;3;53;335;5233;2032.583432227511;
MULTIBOOT;50;BN + Relocation;8;30;80;148;401;798.9693483593121;9;59;120;774;772.2116606673825;81;131;1814;2948;749.7878456472225;28;78;947;2593;1702.722172747714;8;58;421;2797;1399.431090146316;10;60;1035;6108;1987.7577219497553;
MULTIBOOT;50;BN + Relocation;9;31;81;158;402;833.0916218478021;65;115;813;1472;754.0529874052688;33;83;753;1905;761.9169395970578;10;60;275;1799;1726.191817885556;4;54;184;2469;1407.1317379975508;29;79;3010;8031;1976.2183036525214;
MULTIBOOT;50;BN + Relocation;10;71;121;360;602;815.5874675075163;105;155;1357;2034;764.5426823263155;12;62;296;1485;766.3442542069705;82;132;2733;4405;1695.0589709807507;30;80;1432;3704;1417.7561111140285;26;76;2753;7992;1929.5779051598884;
