;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
GRASP;5;5;BN + Relocation;152;878.856202169092;66;858.250558842513;269;775.9431442952127;144;758.826575649262;299;803.1433138594024;233;773.4718802366901;477;1726.7670731644898;300;1720.9839133688765;624;1456.9553558468992;363;1426.6882293679312;1182;2051.3003565468116;1011;1994.187196798693;
GRASP;5;5;BN + Interroute;39;1058.5278762003861;28;966.4211677955212;70;944.4224107034739;47;894.427710031205;121;1009.9706083154591;115;959.4688912990907;273;1862.4392728979042;172;1805.1370417397422;260;1747.3250908083999;229;1682.7072050879135;530;2261.986177374137;373;2203.5212527177405;
GRASP;5;5;BN + IntrarouteSwap;11;1139.2210552497163;4;1110.2947416354498;19;1024.2670988158864;11;974.7687648005619;31;1132.4187641511928;24;1064.7963717010798;22;2070.07523204227;13;2034.7967311110585;60;1858.0761838753558;38;1794.7636529259041;80;2416.560706127016;55;2327.972757219107;
GRASP;5;5;BN + TwoOpt;7;1062.923745714876;3;960.7004228249518;22;990.6143098605851;7;948.1283918416461;28;1134.7184916313158;10;1087.2368874829972;21;2020.0359124792722;20;1977.244319503023;44;1794.1830165557665;32;1698.045338663478;43;2364.1618340603286;34;2293.922544397492;
GRASP;5;5;FBN + Relocation;55;915.1372939137142;38;862.5123428006361;202;832.9830457562755;101;802.3588680033589;222;899.043400187602;120;847.0429674231638;260;1912.0123514407946;138;1820.21778562024;495;1607.7116794935794;254;1522.2761403284248;1088;2226.260145534525;656;2133.160622215428;
GRASP;5;5;FBN + InterrouteSwap;29;1029.9268103892337;21;986.4999093977839;80;932.8422200423878;56;907.0411509194342;81;1032.9925859467435;56;1011.140665968133;138;1862.1806305389007;89;1799.8890904282594;272;1709.3712818467297;138;1657.7771013601853;372;2238.5317984089265;264;2194.393394268202;
GRASP;5;5;FBN + IntrarouteSwap;6;1126.962203386752;3;1007.6591391820924;9;1011.9760729355087;5;945.0728489625706;14;1183.515487881383;9;1065.9154200721075;22;2011.527923167633;13;1970.361494309655;35;1899.657974203385;21;1866.2690017010743;50;2447.019661423585;27;2367.691590183578;
GRASP;5;5;FBN + TwoOpt;5;1076.49260447811;3;1010.3816112282118;8;1005.7821779034639;4;892.5915304854336;10;1170.734574382189;6;1105.9067128004099;16;1998.8342535769498;7;1940.3346624767544;27;1854.3589574131013;18;1815.2685767588769;31;2425.18722425822;21;2381.41582258413;
