;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
GRASP;3;10;BN + Relocation;326;848,79923;150;829,33281;438;783,7325;289;773,77601;640;781,88052;378;772,44516;535;1.690,06217;456;1.631,87293;903;1.436,25145;548;1.394,32245;2.313;1.995,77768;1.389;1.953,6097;
GRASP;3;10;BN + Interroute;44;994,07895;30;951,22743;114;880,80661;72;851,20276;188;909,81633;137;866,10472;411;1.816,22424;206;1.775,45578;480;1.604,41844;249;1.568,67117;1.066;2.186,94212;698;2.163,38137;
GRASP;3;10;BN + IntrarouteSwap;27;963,28481;10;912,98182;40;891,58339;15;854,03879;69;993,07199;46;971,26078;38;1.884,9808;34;1.847,34312;93;1.613,90618;57;1.552,17387;81;2.239,57519;65;2.208,41835;
GRASP;3;10;BN + TwoOpt;10;1.004,16959;4;950,61121;18;898,9474;9;884,77253;35;957,99252;15;937,08526;26;1.867,20637;16;1.810,13316;47;1.649,84855;35;1.612,59146;83;2.160,24778;65;2.088,75431;
GRASP;3;10;FBN + Relocation;71;920,36043;40;869,13654;257;823,07442;148;799,86334;491;812,91675;314;792,17422;251;1.823,96488;184;1.816,8419;728;1.521,09802;381;1.466,61794;814;2.184,67931;482;2.151,10176;
GRASP;3;10;FBN + InterrouteSwap;28;987,04586;16;921,39963;96;871,33407;61;845,12539;116;936,26198;52;896,37307;236;1.773,03179;156;1.704,44757;344;1.597,02386;192;1.525,24443;448;2.174,69549;253;2.100,76824;
GRASP;3;10;FBN + IntrarouteSwap;8;1.008,80851;4;979,9582;12;919,92554;7;911,70765;23;952,54797;16;883,80174;29;1.897,64505;16;1.848,54218;29;1.695,22416;23;1.631,44027;55;2.210,58824;23;2.178,55458;
GRASP;3;10;FBN + TwoOpt;6;995,92213;3;978,72722;13;924,25875;8;897,83595;17;961,60983;11;857,09698;23;1.875,36338;13;1.863,00217;36;1.639,60314;21;1.608,31861;63;2.152,63209;31;2.124,25461;
