;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;I.W.I;L.S;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
MULTIBOOT;25;BN + Relocation;313;825,2878;207;802,10067;698;778,59928;497;774,33166;1.405;765,07828;824;758,06612;1.757;1.692,16378;1.296;1.641,69957;2.421;1.423,72319;2.117;1.391,40266;5.780;1.988,6527;4.183;1.955,21087;
MULTIBOOT;25;BN + Interroute;110;933,66791;68;895,61416;291;860,21893;208;830,88699;427;979,8985;309;961,89338;761;1.762,77409;493;1.745,67687;1.194;1.556,37205;843;1.513,46844;2.035;2.169,66441;1.538;2.108,43146;
MULTIBOOT;25;BN + IntrarouteSwap;13;1.280,43466;8;1.215,50114;29;1.168,16188;22;1.128,00969;38;1.560,50928;31;1.508,66177;60;2.355,09911;39;2.313,14514;85;2.243,39206;62;2.162,89059;135;3.004,60645;99;2.854,57572;
MULTIBOOT;25;BN + TwoOpt;11;1.193,02013;7;1.137,0553;20;1.104,11041;16;1.071,13684;50;1.504,29279;40;1.460,72654;36;2.310,86159;23;2.288,30196;61;2.173,33132;47;2.133,68254;84;2.946,50986;54;2.921,70775;
MULTIBOOT;25;FBN + Relocation;155;893,00498;92;850,31553;517;795,21235;366;788,89708;866;828,37171;542;785,32891;913;1.803,37453;531;1.760,36789;2.048;1.523,18291;1.238;1.463,27609;3.983;2.082,89346;2.497;2.046,76291;
MULTIBOOT;25;FBN + InterrouteSwap;49;947,5386;38;907,31059;200;852,12651;121;831,85932;350;929,35726;208;838,73716;473;1.758,09706;304;1.709,47785;543;1.547,80892;404;1.519,99629;1.290;2.151,76083;906;2.126,59542;
MULTIBOOT;25;FBN + IntrarouteSwap;19;1.238,80577;11;1.186,76986;43;1.164,96781;33;1.144,5227;68;1.544,26344;44;1.487,18539;32;2.376,0793;24;2.282,57933;128;2.245,91103;58;2.208,4877;142;3.025,96925;99;2.928,44457;
MULTIBOOT;25;FBN + TwoOpt;7;1.232,23343;5;1.187,0059;20;1.124,66706;15;1.104,88651;25;1.526,70379;15;1.464,93992;40;2.305,99977;21;2.267,17803;51;2.172,26647;29;2.133,99537;67;2.946,88704;49;2.917,11597;
