;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
GRASP;5;50;BN + TwoOpt;8;26;76;12;32;1017.0668530802858;37;87;21;56;892.2950110307479;50;100;54;110;997.0355540654947;39;89;43;100;1973.059302244033;39;89;55;143;1705.0608206942366;38;88;92;214;2321.813946370347;
GRASP;5;50;BN + TwoOpt;9;70;120;30;47;1038.0819892325976;10;60;5;41;940.6155318329526;48;98;47;95;1095.4098545374738;91;141;106;170;1917.6805948310646;57;107;122;192;1788.9802846033144;40;90;100;225;2322.917080435265;
GRASP;5;50;BN + TwoOpt;10;43;93;13;28;954.4483354088018;5;55;3;34;949.8837326477835;30;80;28;70;1093.391355107411;156;206;157;197;1948.22486354098;24;74;31;97;1816.7412575130072;21;71;53;165;2345.357987356442;
GRASP;5;50;FBN + Relocation;1;65;115;158;281;885.8873309557999;36;86;314;669;803.4818796477128;88;138;1042;1678;786.647746399486;63;113;667;1163;1764.417737306103;128;178;3162;4365;1536.6781411555066;9;59;297;2134;2122.7399158991366;
GRASP;5;50;FBN + Relocation;2;49;99;119;246;858.5983053501382;18;68;176;532;805.0858881583677;61;111;678;1207;803.8881345216411;8;58;80;558;1847.6343916913918;103;153;2605;3838;1559.1572098502395;63;113;2204;4157;2163.1298707044607;
GRASP;5;50;FBN + Relocation;3;65;115;160;300;876.7574305558717;1;51;10;396;792.0505801867755;14;64;201;872;809.0829671137986;28;78;304;854;1822.6754573023752;34;84;849;2009;1524.169141318628;52;102;1818;3695;2047.71837076698;
GRASP;5;50;FBN + Relocation;4;47;97;124;247;902.4140523366921;13;63;122;505;812.7636275541136;6;56;65;744;805.8710452369226;99;149;1064;1537;1696.9958157237186;3;53;121;1184;1589.7870995156104;35;85;1322;3089;2220.392761663662;
GRASP;5;50;FBN + Relocation;5;20;70;41;167;913.8596912547721;101;151;789;1130;760.5956764510586;10;60;141;784;795.2213896964228;2;52;46;624;1835.222218877878;31;81;965;2338;1517.4816982949824;64;114;2456;4220;2156.260563025815;
GRASP;5;50;FBN + Relocation;6;36;86;96;230;889.8453759121539;50;100;459;888;799.0653704915246;3;53;36;669;798.0430216595729;73;123;716;1215;1817.4283974470443;125;175;2879;3992;1544.0906991184554;1;51;68;1678;2190.963532306523;
GRASP;5;50;FBN + Relocation;7;16;66;36;130;921.2326506965272;12;62;73;462;787.0522412746401;29;79;334;878;784.5691160754077;23;73;202;659;1751.3930363329018;12;62;272;1344;1542.3673169062122;47;97;1766;3368;2137.818500885058;
GRASP;5;50;FBN + Relocation;8;9;59;18;114;933.8333024377241;92;142;623;1010;803.2026639585379;14;64;145;670;815.2272569887498;2;52;30;476;1801.0521577096783;34;84;753;1721;1561.6506151263723;1;51;37;1520;2278.561192885281;
GRASP;5;50;FBN + Relocation;9;37;87;74;184;881.1211277346135;1;51;10;317;782.8343628088652;36;86;390;947;787.2958589355512;36;86;367;855;1816.4188043471981;20;70;505;1647;1575.1886232354898;38;88;1221;3169;2111.3926916082405;
GRASP;5;50;FBN + Relocation;10;3;53;10;113;874.1000743314991;21;71;138;580;802.9500842607797;7;57;86;656;799.606348907215;3;53;29;560;1859.4055715747002;39;89;773;1833;1571.8012375544292;10;60;365;1995;2084.340764001963;
GRASP;5;50;FBN + InterrouteSwap;1;14;64;11;56;954.4760757331096;4;54;19;204;893.0437756057103;219;269;1013;1227;873.5460867176747;9;59;83;519;1806.0712364958295;48;98;512;1038;1531.4877254468727;1;51;31;1202;2225.7465482375073;
GRASP;5;50;FBN + InterrouteSwap;2;54;104;47;94;1014.0392646662664;17;67;67;265;921.4028613984025;47;97;237;481;938.2028876623407;3;53;29;533;1820.3019407644924;28;78;333;927;1559.9189622282966;88;138;2001;3108;2102.6033811433317;
GRASP;5;50;FBN + InterrouteSwap;3;21;71;16;61;1049.4758485815723;60;110;281;482;899.7765267450364;15;65;59;283;951.082893696479;5;55;42;541;1781.9066146722507;20;70;218;735;1611.0382495570825;34;84;711;1776;2141.766942155358;
GRASP;5;50;FBN + InterrouteSwap;4;23;73;23;74;942.6720260802929;30;80;129;318;864.3525385448028;53;103;252;470;936.665918492896;44;94;415;870;1800.1010171745;11;61;108;650;1631.8791175528495;77;127;1634;2701;2146.1233411519406;
GRASP;5;50;FBN + InterrouteSwap;5;53;103;52;100;910.6298181546429;27;77;109;288;843.9937802045077;61;111;295;530;916.5591351400178;25;75;231;706;1807.8162941092146;7;57;71;621;1661.823807708412;17;67;313;1357;2134.487267883857;
GRASP;5;50;FBN + InterrouteSwap;6;34;84;34;79;961.2519699190321;66;116;266;458;854.9273454835907;10;60;49;284;949.0674737737293;5;55;40;500;1794.6862511985182;26;76;284;790;1642.7130631613275;48;98;1101;2130;2145.484560871895;
GRASP;5;50;FBN + InterrouteSwap;7;50;100;44;88;1018.7168673965091;7;57;31;202;851.5521302926649;54;104;250;460;898.4628446314624;17;67;172;610;1782.4252056126481;10;60;121;633;1621.048006315308;4;54;61;1141;2207.552850368832;
GRASP;5;50;FBN + InterrouteSwap;8;81;131;79;123;983.0442858584029;18;68;68;261;906.4092061687641;8;58;39;251;941.9502703662228;50;100;452;933;1740.8351056975496;64;114;640;1156;1600.8351068450781;118;168;2627;3731;2134.3883678042557;
GRASP;5;50;FBN + InterrouteSwap;9;39;89;36;86;933.1731618479237;13;63;45;240;889.4624311536377;5;55;30;245;1022.0415068250292;4;54;44;484;1801.0587278401358;68;118;748;1226;1582.2970084038432;130;180;2869;3859;2159.2630395060264;
GRASP;5;50;FBN + InterrouteSwap;10;47;97;43;91;995.2087886075025;64;114;255;431;888.9224771727904;24;74;94;331;912.4783763913199;115;165;1051;1537;1750.6997839193307;19;69;207;705;1572.9419392178677;60;110;1270;2442;2151.7397283579476;
GRASP;5;50;FBN + IntrarouteSwap;1;69;119;21;36;1048.3020707835956;9;59;5;35;955.106765353199;91;141;86;130;1110.6287079107715;61;111;53;96;1931.2745909839934;26;76;36;104;1789.779844560134;54;104;114;217;2407.223544711882;
GRASP;5;50;FBN + IntrarouteSwap;2;4;54;1;16;1128.8371456953992;7;57;5;35;953.360559592557;22;72;18;65;1099.9951186841326;15;65;11;53;1981.2556485416328;47;97;68;138;1792.951092388353;52;102;111;212;2355.407422213807;
GRASP;5;50;FBN + IntrarouteSwap;3;64;114;20;36;1100.7893384864408;17;67;10;40;979.8306556735441;119;169;109;157;1091.697134064246;7;57;6;48;1962.9333276627926;56;106;74;142;1818.0209199606609;32;82;62;162;2425.071541179909;
GRASP;5;50;FBN + IntrarouteSwap;4;21;71;7;23;1066.961078806907;45;95;26;58;965.7519376319719;71;121;66;110;1060.4958703077632;49;99;44;85;2005.8253305912478;124;174;172;241;1755.4460167116813;4;54;8;108;2385.9413228200574;
GRASP;5;50;FBN + IntrarouteSwap;5;31;81;11;26;1032.5321523727127;20;70;11;41;965.0924943487269;85;135;80;125;1051.3216833726729;61;111;51;94;2008.5360463760262;22;72;31;100;1830.0451479728042;14;64;30;134;2312.5190061348626;
GRASP;5;50;FBN + IntrarouteSwap;6;58;108;18;33;1126.7481022105044;6;56;4;35;948.6840507350163;12;62;11;59;1051.9594865149209;31;81;25;67;2012.098244215445;62;112;86;153;1783.5157678770847;64;114;132;235;2396.271594892496;
GRASP;5;50;FBN + IntrarouteSwap;7;43;93;13;28;1041.7463589471374;28;78;17;49;976.8680858507532;10;60;9;54;1036.9561610488943;64;114;53;96;1945.5195619392778;39;89;53;119;1793.6622130749058;56;106;120;223;2397.8736902923106;
GRASP;5;50;FBN + IntrarouteSwap;8;29;79;8;23;1114.4503610347062;60;110;36;64;927.305683330473;26;76;23;69;1116.3145987960443;64;114;54;94;1968.0552395001564;40;90;55;123;1803.400480388672;59;109;127;236;2380.8084560490215;
GRASP;5;50;FBN + IntrarouteSwap;9;61;111;18;34;1011.8674771527908;44;94;26;58;937.9625184035061;80;130;74;120;1011.981587491754;16;66;12;56;2031.7293252990082;25;75;37;106;1857.788996664372;20;70;44;150;2379.2461533084766;
GRASP;5;50;FBN + IntrarouteSwap;10;16;66;6;21;1033.8004580332758;5;55;3;33;952.0802698494333;14;64;12;60;1128.6493300447273;7;57;6;49;2009.7516006157787;32;82;42;114;1821.7241177948158;15;65;34;136;2419.7520631167727;
GRASP;5;50;FBN + TwoOpt;1;40;90;9;20;1032.7186641668893;64;114;27;48;968.0083166964315;29;79;18;47;1053.8977599381774;10;60;5;35;1982.8570192052296;7;57;6;52;1831.8611493544206;91;141;131;202;2301.092137989631;
GRASP;5;50;FBN + TwoOpt;2;71;121;16;27;1006.1685194748969;113;163;47;68;954.8335541990307;23;73;15;46;1111.9374980736616;29;79;18;47;1914.2725337089357;2;52;3;49;1848.1061428595954;169;219;240;309;2293.8944678918742;
GRASP;5;50;FBN + TwoOpt;3;53;103;12;22;1035.6013571214542;19;69;8;29;960.1316576924933;39;89;23;53;1111.0183559235572;14;64;9;37;1986.6853725503531;30;80;28;75;1828.5318817634834;43;93;63;135;2289.4347698083293;
GRASP;5;50;FBN + TwoOpt;4;37;87;8;19;1001.4059637136248;47;97;20;42;943.6749294760309;50;100;31;61;1071.7299156852505;15;65;9;38;1995.312082022383;74;124;69;117;1748.0485526228952;34;84;49;121;2357.2132341929414;
GRASP;5;50;FBN + TwoOpt;5;33;83;7;19;964.9101099914359;38;88;15;35;942.2752029690848;25;75;16;46;942.7538848715087;43;93;25;53;1880.1485124402323;1;51;1;56;1801.8666875760625;4;54;9;94;2298.1191521797373;
GRASP;5;50;FBN + TwoOpt;6;15;65;5;26;1044.1475583819345;13;63;8;34;938.4378624355028;13;63;8;38;1108.6691401839407;45;95;26;55;1978.1184650914324;14;64;12;60;1786.777776351196;13;63;19;89;2346.107103341561;
GRASP;5;50;FBN + TwoOpt;7;10;60;2;13;1095.2717416727678;12;62;5;26;942.1785364351097;43;93;24;55;1112.8720877591566;20;70;12;41;1939.2138491495914;13;63;12;58;1820.9760161626994;91;141;130;201;2221.734489611612;
GRASP;5;50;FBN + TwoOpt;8;50;100;11;22;971.5180185677607;63;113;27;48;931.9382518027809;54;104;32;65;1030.9467929913105;3;53;1;31;1926.6831414048736;47;97;44;90;1660.9770677318445;88;138;126;197;2291.6480605139695;
GRASP;5;50;FBN + TwoOpt;9;28;78;6;17;1035.3575399560739;120;170;50;71;912.0968050404398;83;133;49;80;1036.7296584655508;19;69;12;40;1941.7465667976078;22;72;20;66;1752.3234710948661;13;63;19;93;2335.690035263445;
GRASP;5;50;FBN + TwoOpt;10;52;102;11;22;1031.276793433269;30;80;13;34;913.0499549143408;20;70;12;42;994.9254397778832;10;60;6;35;1962.6350894895968;34;84;32;79;1815.5595450439716;133;183;192;260;2254.6724693822634;
