;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;R.C.L;I.W.I;L.S;ITERATION;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;
GRASP;5;50;BN + Relocation;1;27;77;503;1080;801.6188245292296;77;127;1528;2391;776.787809444576;66;116;1808;2989;757.5714210716085;96;146;3707;5622;1658.8584256746049;36;86;2099;5058;1392.999223559549;31;81;3129;8058;1980.4898454063584;
GRASP;5;50;BN + Relocation;2;16;66;138;535;840.1378793479048;36;86;674;1588;760.8501578411042;7;57;236;1513;776.4874904433071;7;57;280;2400;1693.506283621757;67;117;4231;7727;1422.9016371325931;46;96;5223;11341;1947.6270308937521;
GRASP;5;50;BN + Relocation;3;17;67;163;591;820.7546199636012;78;128;1754;3021;759.1671679515912;46;96;1633;3470;763.2001464395729;44;94;1984;4280;1683.520963592366;74;124;4648;7722;1451.650334441378;46;96;5595;11414;1973.438262617527;
GRASP;5;50;BN + Relocation;4;7;57;46;469;860.8850313785604;4;54;122;1014;775.1664545609317;1;51;76;1686;762.2677680370088;12;62;564;2894;1674.5900227089146;69;119;4301;7568;1423.3666791076669;88;138;8747;12789;1967.6993493654925;
GRASP;5;50;BN + Relocation;5;65;115;420;731;805.3692725342524;32;82;511;1219;767.5574676237086;24;74;600;1786;765.1534161858975;125;175;4257;6052;1684.292742349153;13;63;619;2919;1417.2037933348367;93;143;7986;10996;1976.530088914589;
GRASP;5;50;BN + Relocation;6;27;77;136;378;822.6352878379402;45;95;495;1006;770.5888488963217;73;123;1182;1985;768.9532112028617;34;84;841;2067;1689.7701976565481;5;55;171;1748;1467.0590065447927;35;85;2459;5459;1991.9595081049226;
GRASP;5;50;BN + Relocation;7;7;57;28;274;800.411886400179;13;63;142;696;770.0602416584754;40;90;707;1615;762.2500311429146;13;63;316;1502;1720.3634528187558;13;63;457;2154;1411.920747604439;9;59;591;3771;1965.4687417060807;
GRASP;5;50;BN + Relocation;8;4;54;16;269;807.3080500288947;34;84;372;883;769.3513024752967;49;99;794;1709;771.5074755074301;122;172;3064;4296;1669.8030488736517;65;115;2161;3814;1433.0261118546023;65;115;4254;7215;1995.7875322215439;
GRASP;5;50;BN + Relocation;9;62;112;292;499;801.9723220904964;11;61;120;698;761.8350690467536;77;127;1320;2203;767.9124611582561;3;53;77;1280;1708.7717582225503;50;100;1795;3624;1407.9746197920867;52;102;3026;6092;1970.005968615349;
GRASP;5;50;BN + Relocation;10;87;137;385;618;811.8052072821878;13;63;166;709;778.9738014182649;7;57;126;949;764.156119512634;172;222;4179;5355;1651.3727186162228;3;53;89;1714;1448.1438150085621;120;170;7876;11485;1954.7791721089518;
GRASP;5;50;BN + Interroute;1;28;78;36;107;996.5398890428032;15;65;80;292;867.0363219511241;8;58;66;422;957.0951623083325;9;59;138;798;1764.7380750414286;50;100;724;1545;1654.3991814909239;61;111;2029;3382;2157.3179360472905;
GRASP;5;50;BN + Interroute;2;83;133;124;236;988.8939717580822;6;56;25;263;883.826220657733;78;128;507;869;883.7085869177682;51;101;621;1192;1784.427489775467;113;163;1452;2036;1637.769943326024;43;93;1219;2728;2138.945967593107;
GRASP;5;50;BN + Interroute;3;21;71;25;98;961.291531967746;53;103;228;439;881.4158762201362;9;59;45;369;952.6841858475275;36;86;414;980;1843.0653678521182;71;121;870;1508;1639.570974075702;57;107;1577;3100;2202.0374566622827;
GRASP;5;50;BN + Interroute;4;52;102;78;158;995.579501572237;73;123;298;493;824.3298152820452;31;81;214;507;963.4497464726076;20;70;231;744;1825.8219693645287;14;64;221;869;1686.900211694371;1;51;35;1597;2186.7156370376315;
GRASP;5;50;BN + Interroute;5;80;130;135;237;970.9074549534204;35;85;185;397;853.0075567718208;88;138;572;968;904.2141338939366;63;113;779;1359;1805.753660233521;7;57;393;1393;1678.3758910785234;13;63;543;2026;2207.2348516;
GRASP;5;50;BN + Interroute;6;13;63;20;101;981.8714188768898;71;121;291;477;890.4542865080907;13;63;71;385;962.391088750673;7;57;83;638;1796.2854581179854;23;73;422;1052;1662.2437142936828;3;53;64;1417;2234.443377492761;
GRASP;5;50;BN + Interroute;7;47;97;64;134;935.5307739741352;62;112;281;460;864.0902354263659;24;74;118;384;987.5245504164501;53;103;579;1077;1810.939135547438;10;60;132;704;1543.497174294497;6;56;180;1516;2196.488614286087;
GRASP;5;50;BN + Interroute;8;8;58;17;85;988.2813394116192;3;53;12;237;886.9691218178175;2;52;10;289;971.9073122219881;58;108;604;1101;1778.694036979294;38;88;445;989;1609.4179954482;74;124;2117;3372;2222.3142325785984;
GRASP;5;50;BN + Interroute;9;81;131;118;191;1002.2546053735927;6;56;19;227;888.749203534716;9;59;42;337;997.4180156655843;13;63;164;679;1777.6894429738902;39;89;504;1106;1666.9379785685383;29;79;843;2188;2111.023301129676;
GRASP;5;50;BN + Interroute;10;5;55;10;78;997.1884872833618;32;82;171;371;875.2506697348459;37;87;220;500;930.8762980459888;61;111;613;1130;1811.3139709633504;113;163;1293;1821;1646.9031727779038;36;86;1042;2382;2158.2034976297355;
GRASP;5;50;BN + IntrarouteSwap;1;40;90;15;32;1062.4108018215877;29;79;20;62;983.6809218611927;98;148;135;203;1018.6378764076139;6;56;6;57;2023.5527254580743;44;94;86;180;1754.2049870113894;126;176;342;463;2282.335815900407;
GRASP;5;50;BN + IntrarouteSwap;2;24;74;10;28;992.0983204719391;57;107;45;83;904.2701535189367;81;131;116;193;1083.5229529564865;5;55;7;68;1969.6373844140921;21;71;35;127;1811.2805853605391;35;85;111;284;2357.738063554907;
GRASP;5;50;BN + IntrarouteSwap;3;20;70;12;41;1057.6171751083018;21;71;19;63;973.092449106106;11;61;12;67;1091.780902549043;29;79;46;109;2002.6860868392132;59;109;114;210;1770.3990773618725;8;58;19;172;2405.150807979445;
GRASP;5;50;BN + IntrarouteSwap;4;35;85;15;34;1089.0025721961533;54;104;43;81;918.5131094909958;30;80;48;111;1114.749651713938;8;58;12;85;1975.3698365890773;79;129;157;258;1783.9151374361834;61;111;186;315;2335.6460425439154;
GRASP;5;50;BN + IntrarouteSwap;5;27;77;10;30;1040.9712346160288;49;99;39;77;933.8467900731307;46;96;73;136;1063.1088759796194;22;72;38;106;1983.64967116172;33;83;73;185;1737.4311882683992;62;112;230;359;2400.48415778536;
GRASP;5;50;BN + IntrarouteSwap;6;80;130;30;48;999.2228445984019;15;65;13;53;973.0583776385284;173;223;233;289;1047.5305534576185;101;151;114;171;1916.1639962164047;64;114;124;225;1776.4045136117284;73;123;265;418;2268.6806807235507;
GRASP;5;50;BN + IntrarouteSwap;7;47;97;19;39;1076.7300497305257;69;119;55;101;941.1752886502372;84;134;123;199;1092.5524790112318;56;106;59;116;1958.0842756145175;42;92;82;183;1779.9583623519336;2;52;6;174;2344.472329466088;
GRASP;5;50;BN + IntrarouteSwap;8;37;87;14;33;1061.2767657331938;175;225;171;209;860.8204461415921;40;90;47;114;1018.2536410007294;66;116;97;178;1923.6690298893311;4;54;6;99;1810.5398893610393;1;51;3;196;2372.2667987210375;
GRASP;5;50;BN + IntrarouteSwap;9;51;101;19;38;1046.803222967857;8;58;6;49;962.8982758379327;110;160;149;206;1016.8217450710517;15;65;22;96;2001.597281012749;52;102;100;201;1779.1904602510563;63;113;190;317;2350.648988376481;
GRASP;5;50;BN + IntrarouteSwap;10;14;64;5;24;1108.5624490974578;43;93;34;74;981.7216351337407;67;117;79;153;1053.3521328216514;3;53;4;75;1943.6550905163203;16;66;30;133;1800.676458566769;13;63;39;175;2420.138175082365;
GRASP;5;50;BN + TwoOpt;1;68;118;28;49;1017.8177855745539;20;70;15;45;937.5107400522479;34;84;38;96;1123.0082724884583;86;136;92;140;1981.553296374896;54;104;88;162;1773.1076632635477;87;137;198;292;2269.674426718872;
GRASP;5;50;BN + TwoOpt;2;41;91;11;25;945.2065061455428;25;75;14;44;935.3170684697731;43;93;36;76;1020.3398175075075;85;135;88;128;1936.0612518134528;72;122;94;155;1716.8185355037158;45;95;110;222;2340.9841442252523;
GRASP;5;50;BN + TwoOpt;3;44;94;14;29;1076.4434525221977;41;91;23;57;915.5838812780703;17;67;14;69;1077.0132164511456;2;52;2;50;1989.4126605388174;37;87;60;138;1768.0842313021406;68;118;172;268;2324.781587155341;
GRASP;5;50;BN + TwoOpt;4;28;78;8;22;1037.3348534688885;19;69;10;38;949.7969089710938;185;235;194;241;1033.778595401798;14;64;11;52;1903.9217950121786;22;72;29;97;1810.1197399052492;15;65;32;154;2267.4504505276805;
GRASP;5;50;BN + TwoOpt;5;34;84;14;32;1027.9974681945955;145;195;102;143;940.7767611137305;33;83;31;78;1035.3096339299655;13;63;11;67;1943.5603799162027;1;51;2;72;1758.9964530530924;34;84;85;198;2235.265246673125;
GRASP;5;50;BN + TwoOpt;6;128;178;47;62;1012.9522259069012;73;123;49;82;913.1089452549007;46;96;53;105;1096.9148001555284;161;211;153;208;1888.8020617854472;130;180;181;262;1767.6237531733489;30;80;56;176;2312.190422696006;
GRASP;5;50;BN + TwoOpt;7;57;107;17;31;1014.0756514033236;3;53;2;30;929.5178403289779;40;90;35;90;1109.450530287233;10;60;8;59;2031.728046072493;11;61;13;102;1779.756289382073;23;73;57;196;2250.5230318420477;
