;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
GRASP;3;25;BN + Relocation;588;821.246670697859;349;801.8637015739829;931;771.2916605362466;514;764.1161668608704;1045;770.7309280949642;822;764.1251314012688;2779;1668.4022580609071;1819;1654.694111060608;2358;1405.419955261525;1885;1378.465624355766;3340;1960.289553349806;2612;1928.682160272359;
GRASP;3;25;BN + Interroute;88;956.6654306838054;40;915.0257524457281;155;876.0566085742812;91;852.8713617401564;259;896.2138727629994;208;874.5680465691959;642;1787.0605460935155;305;1769.8393457193836;455;1595.6270224629945;286;1536.2045983937312;785;2130.579721948335;578;2067.294408235565;
GRASP;3;25;BN + IntrarouteSwap;23;1000.4975241939688;10;910.9910339152365;42;901.3762871223605;29;876.3186361730864;78;934.4398903275518;57;889.7092781835115;46;1889.2417203643042;42;1865.313611431734;104;1630.1297400522942;64;1583.6575971328477;124;2185.038561159251;83;2129.537869992072;
GRASP;3;25;BN + TwoOpt;18;970.5558235109913;11;957.8747691605884;30;876.3634130287795;23;835.4666983944036;43;944.870177654075;27;903.5845283198171;41;1851.410012139906;28;1837.633709155326;87;1611.317111526082;72;1577.8206339750382;132;2144.9466420725475;70;2133.530712439176;
GRASP;3;25;FBN + Relocation;106;894.2686883709641;49;873.0336656058832;288;799.239667808773;221;788.0162547421783;410;815.4257566857864;247;796.250143813139;331;1785.1328682651715;191;1758.0926296467603;630;1533.953484443064;498;1487.613510133826;982;2137.513277709956;649;2045.4358834688703;
GRASP;3;25;FBN + InterrouteSwap;36;943.2044059628664;26;917.1068451688188;91;872.0528601329677;75;835.1393887864699;107;907.4517928027341;95;893.373668165987;381;1768.221879838291;221;1716.6109552550208;551;1587.7223434792404;312;1573.307777175836;844;2155.4937656052775;438;2138.161387436407;
GRASP;3;25;FBN + IntrarouteSwap;11;995.8074755844484;7;938.2563417230596;30;902.7154040832847;17;881.5852281394319;48;922.3159553839763;37;893.8018738724339;26;1868.5112659986669;23;1835.6763235873032;63;1643.5951492278787;44;1603.0468420504585;83;2155.6377440467977;52;2120.5211175441927;
GRASP;3;25;FBN + TwoOpt;8;974.7395876947616;5;919.0797792038517;20;904.9400766935154;12;875.7344421383104;32;936.4219950958211;28;902.8998208034427;20;1850.0847772691388;16;1818.7832652085979;26;1622.298835009618;23;1589.5557719388423;55;2148.542721328465;36;2112.450690026951;
