;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
GRASP;3;10;BN + Relocation;344;826.8958907679729;208;810.1329527762707;330;781.1961581773811;221;769.2049978235482;522;773.4061191454775;373;770.3171804639803;674;1701.0165356436494;476;1671.0906898855749;1465;1417.647192035041;762;1392.5935128168605;2648;2004.5269160002676;1739;1967.3932787037843;
GRASP;3;10;BN + Interroute;48;976.6142940831498;29;945.1966768159756;127;856.7047430108738;89;831.6454907273584;238;877.171671710967;143;855.8045883225902;371;1769.2079561585972;180;1746.964527848596;491;1624.1586671869659;254;1592.3171188451465;650;2168.66834119099;451;2111.571474697744;
GRASP;3;10;BN + IntrarouteSwap;17;988.502346407999;6;966.3298200122597;19;924.1169297889459;12;907.1714596651749;39;969.4909074161867;25;897.280674973408;34;1879.33674652764;17;1822.1092288059638;55;1641.5685453183767;36;1590.9745427021683;86;2202.9002728251376;43;2167.190026727064;
GRASP;3;10;BN + TwoOpt;8;989.0308785099427;5;883.9373198021046;23;899.8673599415661;15;875.9611130859546;29;978.8087155637415;18;944.7540785878191;25;1863.2411995965304;16;1782.244234743364;38;1609.5898592882236;34;1516.5521549470923;63;2158.7085664283427;39;2142.0342075297094;
GRASP;3;10;FBN + Relocation;53;944.5715616351459;33;931.5314911241503;175;817.8406981553067;115;795.3870076161851;304;836.8730781458966;149;813.3612224542035;286;1818.766520515259;135;1766.3304247619278;488;1595.51503392223;394;1548.7895496881572;677;2195.264639223461;451;2157.9978481813987;
GRASP;3;10;FBN + InterrouteSwap;27;1005.807545462552;12;984.6511519632991;91;903.2033549787387;49;889.484715216356;120;923.5149644218494;67;886.872311900606;246;1784.1914292856068;135;1736.9233198713157;277;1620.1389656133315;222;1571.5341678907425;564;2177.16747064828;335;2141.8121348288987;
GRASP;3;10;FBN + IntrarouteSwap;6;1019.1441482314555;4;991.9389347159621;17;913.294361617149;8;874.118483116935;26;991.2406074461518;15;940.9214145741414;28;1863.600980519071;13;1830.953102725667;35;1668.9418601202203;18;1629.5659620788929;53;2175.4476361657926;33;2125.4997301387552;
GRASP;3;10;FBN + TwoOpt;6;974.343138430408;4;937.6566547971217;12;896.1441264950239;6;868.5116288213392;23;974.0850552208358;9;926.3497691535821;23;1831.5198926042035;10;1794.678407267916;34;1661.44933458884;15;1600.1657288077542;52;2166.886572726505;33;2157.0298024153453;
;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
