;;;;;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;GRASP.R.C.L;GRASP.I.W.I;GRASP.LocalSearch;MaxReconstruction;MinDiff;DestructionPercent;LocalSearch;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.25;BN + Relocation;43.0;839.8957503241496;22.0;790.45170949194;21.0;785.8650983928925;17.0;770.8909519621859;26.0;773.5444304426594;23.0;765.51834678235;50.0;1706.8967187888527;38.0;1651.8877367579478;55.0;1436.7864255420661;39.0;1407.3481072507943;101.0;2024.8458312707123;76.0;1976.5902206882429;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.25;BN + Interroute;13.0;844.1230272621597;10.0;835.4613461157433;32.0;783.0293078039842;18.0;775.8726454102609;39.0;779.588747367482;28.0;773.1779003489357;51.0;1680.7417059180502;41.0;1658.1311503951838;57.0;1414.6449549187107;44.0;1370.7762830174283;92.0;2013.0695750181883;86.0;1950.9442027686239;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.25;BN + IntrarouteSwap;16.0;819.5597792156708;9.0;788.3894649600852;26.0;774.0846608184758;18.0;763.9893160032243;28.0;764.969112367571;26.0;752.839871005934;45.0;1700.598591615712;40.0;1649.105908425999;52.0;1423.5059870121854;36.0;1373.8370838003434;92.0;2008.8374267698255;72.0;1978.981091285752;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.25;BN + TwoOpt;11.0;821.5685597873487;10.0;792.3814931599778;22.0;777.0864032864272;18.0;762.1876678555507;43.0;762.0846921009779;27.0;757.9790508380548;40.0;1697.5644374690019;38.0;1624.4142819162535;40.0;1404.7535050250694;38.0;1368.7382596969844;106.0;1983.9472759055072;80.0;1924.7469185038794;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.25;FBN + Relocation;14.0;826.0881547402696;10.0;807.7762631843403;29.0;781.0807204656294;19.0;769.0078216146295;32.0;773.948611393953;26.0;765.2868079732664;45.0;1716.055199730067;41.0;1680.5672964080388;69.0;1461.6435771214442;57.0;1395.2440848226095;86.0;2029.1092186640847;76.0;1982.047068982865;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.25;FBN + InterrouteSwap;11.0;822.709902778785;10.0;791.6836098441283;21.0;774.3010778817761;17.0;757.3206617426893;31.0;771.9513457784597;23.0;749.0701823456156;44.0;1713.1699226405865;41.0;1688.3084602422064;43.0;1430.806614922611;38.0;1370.527990140602;85.0;2000.2084076117767;72.0;1951.6589477675313;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.25;FBN + IntrarouteSwap;10.0;838.4162624982382;9.0;830.7273048163217;25.0;779.8601055838697;17.0;760.8079994432518;31.0;768.7637065525207;24.0;758.9093781427789;46.0;1691.678551395137;38.0;1663.5398737058772;51.0;1419.506042723105;35.0;1398.082187447611;93.0;1989.4119624260256;77.0;1941.8021685543217;
LNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;100;5;0.25;FBN + TwoOpt;10.0;834.2971677093517;9.0;828.7001475272228;25.0;773.2675146764348;18.0;760.4307168320462;33.0;766.3458655035809;26.0;745.8225181638247;78.0;1684.919181800722;42.0;1660.739023022431;43.0;1441.3594539255384;38.0;1384.6110096090179;97.0;2007.7305350814368;74.0;1923.3157918148975;
