;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;R.C.L;I.W.I;L.S;ITERATION;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;I.W.F;T.N.O.I;E.T.F;T.E.T;SOL.;
GRASP;3;50;BN + IntrarouteSwap;4;14;64;4;20;990.3325518141673;16;66;9;40;946.9542491754041;5;55;11;63;972.6375417734316;91;141;122;175;1751.6738124187134;65;115;93;193;1636.075810330968;83;133;213;315;2128.093882487304;
GRASP;3;50;BN + IntrarouteSwap;5;12;62;4;19;1023.1932739066117;2;52;1;32;887.1939867804346;11;61;12;67;932.1366688640314;19;69;39;98;1840.2967665770468;17;67;26;116;1640.9099368504194;73;123;230;349;2099.2361086280703;
GRASP;3;50;BN + IntrarouteSwap;6;47;97;15;30;994.2452262912284;41;91;23;53;874.9741356895205;37;87;43;96;930.4415680058928;3;53;5;78;1880.6705167915545;13;63;21;111;1643.9553891672113;40;90;117;256;2104.983588769447;
GRASP;3;50;BN + IntrarouteSwap;7;2;52;1;17;1040.72760102907;22;72;14;45;877.5933945291027;16;66;28;79;898.0938150468348;44;94;48;103;1849.8588247842858;98;148;155;245;1614.8548301520293;20;70;43;185;2143.6144015127707;
GRASP;3;50;BN + IntrarouteSwap;8;44;94;13;29;974.4971767873795;71;121;48;78;833.4693044060467;36;86;49;121;943.5752313287879;101;151;116;163;1837.783447567215;167;217;314;380;1639.074851217835;57;107;163;273;2160.5721853560717;
GRASP;3;50;BN + IntrarouteSwap;9;6;56;1;17;1010.4337827827391;34;84;21;54;886.8036308395323;139;189;175;238;876.3904398276273;3;53;4;65;1901.739842203692;85;135;159;267;1571.8430102536217;37;87;81;210;2138.7579331758207;
GRASP;3;50;BN + IntrarouteSwap;10;143;193;58;78;922.4860909119648;20;70;13;48;863.7010876618522;83;133;113;197;964.8799674775623;67;117;62;111;1820.4155216216932;11;61;17;116;1578.1258881058102;19;69;58;186;2114.4180143450485;
GRASP;3;50;BN + TwoOpt;1;1;51;0;19;961.7664958469419;7;57;16;48;905.4632475516668;57;107;39;73;936.1824735731827;11;61;9;61;1850.6809105133316;21;71;26;94;1598.5404106951341;64;114;129;245;2141.1973740573058;
GRASP;3;50;BN + TwoOpt;2;48;98;11;23;945.2793732133354;10;60;5;28;875.0525509372432;41;91;35;79;814.7774980972437;111;161;89;163;1752.764950943645;63;113;77;138;1583.1616814081292;20;70;38;169;2118.1247876409834;
GRASP;3;50;BN + TwoOpt;3;6;56;2;14;984.2799206922742;30;80;15;38;880.1983944824667;40;90;33;73;938.1557692564597;87;137;91;126;1853.7770985861125;17;67;30;100;1557.1769800983477;44;94;104;201;2052.452096565298;
GRASP;3;50;BN + TwoOpt;4;47;97;15;26;970.9261134163212;12;62;6;29;887.6219812492811;1;51;2;60;945.4474331901259;3;53;5;49;1859.18379168349;19;69;23;84;1632.980725852525;44;94;101;186;2161.3784293256344;
GRASP;3;50;BN + TwoOpt;5;68;118;17;29;889.2941237335259;25;75;12;41;871.2827961551528;29;79;24;68;896.3494211999003;16;66;17;82;1851.3186000973108;35;85;40;100;1605.9627847349839;11;61;28;138;2154.444167021637;
GRASP;3;50;BN + TwoOpt;6;16;66;4;17;954.8036809109126;13;63;6;37;923.907818786348;6;56;4;48;944.7552161257609;13;63;9;54;1851.1361771019972;28;78;37;110;1631.0447688843883;79;129;153;275;2104.072689714349;
GRASP;3;50;BN + TwoOpt;7;26;76;6;19;1011.8849630475908;12;62;5;28;876.0898943492242;7;57;5;45;970.5305538700528;75;125;78;135;1840.4797949232918;71;121;109;216;1519.392501644178;62;112;167;286;2120.3829222057298;
GRASP;3;50;BN + TwoOpt;8;22;72;13;34;945.5701179399592;16;66;14;40;885.4553451295199;9;59;6;49;955.0346053219677;33;83;23;95;1866.5007932506069;28;78;51;115;1560.9892041729004;33;83;61;186;2149.758806541748;
GRASP;3;50;BN + TwoOpt;9;24;74;5;17;956.5145364495706;12;62;6;28;883.8362026736106;5;55;4;46;1008.9390267647393;18;68;12;56;1854.8198435373654;2;52;3;84;1635.575998130244;38;88;86;196;2103.51818159195;
GRASP;3;50;BN + TwoOpt;10;39;89;15;36;973.285936701638;33;83;14;43;880.284559101497;4;54;3;37;941.6260260436143;79;129;71;109;1852.4425341163799;42;92;76;155;1540.2462240633542;67;117;176;258;2018.5487443274285;
GRASP;3;50;FBN + Relocation;1;21;71;41;143;909.2544258243141;131;181;949;1282;783.4046128981446;77;127;860;1470;795.8510842271337;36;86;340;736;1753.7303124585987;29;79;519;1459;1558.6592948462267;48;98;1259;2529;2100.261673753519;
GRASP;3;50;FBN + Relocation;2;43;93;108;221;863.7583863491523;28;78;250;573;791.9061150041231;34;84;343;863;793.1357952180538;65;115;586;1042;1809.295325541665;35;85;718;1582;1513.728910564026;106;156;2627;3982;2071.9394655213273;
GRASP;3;50;FBN + Relocation;3;44;94;109;232;892.8086837452754;27;77;215;550;772.0856844902096;7;57;79;577;798.0468450310241;4;54;39;468;1789.7545220028787;2;52;44;1051;1511.7735358344719;147;197;3956;5997;2076.797492120874;
GRASP;3;50;FBN + Relocation;4;23;73;44;181;839.1482709245182;144;194;980;1293;793.186027531175;42;92;463;957;796.1460522747719;73;123;635;1226;1745.119596123117;37;87;777;1554;1431.961785010029;14;64;378;1676;2175.693922919032;
GRASP;3;50;FBN + Relocation;5;25;75;42;136;866.7918405391227;29;79;202;511;787.4059002019644;34;84;283;745;804.9004753150216;15;65;158;544;1769.0042668035037;11;61;236;1105;1524.6059438391515;93;143;2182;3291;2131.9631628115576;
GRASP;3;50;FBN + Relocation;6;66;116;120;227;891.1617275098173;1;51;6;294;795.8750529571538;29;79;292;686;817.117458479827;11;61;103;514;1809.0389594255212;32;82;574;1504;1481.248666260769;3;53;108;985;2141.291722014129;
GRASP;3;50;FBN + Relocation;7;19;69;40;147;911.1739927617396;53;103;348;648;786.4313660230217;46;96;454;857;767.1326976266362;99;149;759;1186;1755.5040960553001;39;89;814;1750;1535.0081938793523;4;54;106;1086;2143.9364299802587;
GRASP;3;50;FBN + Relocation;8;58;108;94;179;907.3503192360713;29;79;194;483;809.1274056400446;60;110;544;978;803.1738678237286;24;74;210;546;1782.3178372609127;6;56;160;1022;1533.8203352093678;33;83;803;2035;2138.137089447573;
GRASP;3;50;FBN + Relocation;9;40;90;91;203;915.7033924375867;2;52;18;385;793.2607500390875;27;77;322;834;795.0092049711632;52;102;442;896;1748.9674684691395;21;71;398;1420;1502.5831884458398;44;94;1109;2302;2157.5551855787307;
GRASP;3;50;FBN + Relocation;10;4;54;13;117;879.8208272662026;20;70;167;503;784.1129131429875;20;70;262;767;796.2450459504428;49;99;409;796;1778.2742961328333;2;52;34;1078;1550.177320675779;14;64;437;1707;2160.417815175483;
GRASP;3;50;FBN + InterrouteSwap;1;30;80;24;68;940.0676539076508;30;80;96;287;861.6690332848807;19;69;73;297;891.3827374115888;17;67;183;735;1762.0762919472975;101;151;1188;1719;1547.7684586782711;32;82;634;1532;2098.6413680519795;
GRASP;3;50;FBN + InterrouteSwap;2;58;108;38;80;934.028549093013;40;90;147;313;856.5391829615147;46;96;176;369;900.7073696038049;75;125;692;1142;1768.7488987844329;52;102;504;956;1547.8732152175835;8;58;190;1102;2084.00509992537;
GRASP;3;50;FBN + InterrouteSwap;3;18;68;15;57;905.4462902544063;95;145;334;505;873.4454659081612;1;51;6;219;907.2627583114551;16;66;146;611;1777.4908517789208;12;62;95;525;1517.2807270126157;43;93;781;1781;2127.0185616978615;
GRASP;3;50;FBN + InterrouteSwap;4;27;77;20;62;937.5163406404502;16;66;74;255;838.0506689784089;35;85;131;305;853.1039358936857;1;51;13;522;1743.672662332803;81;131;771;1234;1517.9896792136183;54;104;1097;1916;2135.306300350424;
GRASP;3;50;FBN + InterrouteSwap;5;98;148;76;112;933.7503537118835;24;74;105;275;881.4513951056183;24;74;87;283;845.9584793040085;4;54;38;506;1776.1344123082658;15;65;163;616;1538.3168884756642;18;68;379;1291;2130.5763291765984;
GRASP;3;50;FBN + InterrouteSwap;6;10;60;10;46;958.5389701222457;35;85;108;302;856.8887201412858;55;105;207;379;868.33608964245;69;119;599;1031;1759.3539546553973;2;52;26;520;1579.516882730371;95;145;1881;2767;2106.4602050749963;
GRASP;3;50;FBN + InterrouteSwap;7;105;155;83;121;939.8159953873253;55;105;200;358;835.5373732117371;5;55;19;208;895.0502906605745;19;69;186;612;1762.795029351752;2;52;27;492;1572.5461222149838;40;90;673;1599;2093.050238868287;
GRASP;3;50;FBN + InterrouteSwap;8;55;105;51;104;932.9804323469842;32;82;114;297;856.9728484408059;11;61;35;240;926.6290959693657;25;75;248;665;1721.5532416363774;80;130;785;1258;1562.582334391781;59;109;1082;1993;2105.018920622949;
GRASP;3;50;FBN + InterrouteSwap;9;15;65;15;58;977.1849864828894;33;83;122;299;869.2131264126438;54;104;210;408;938.0055040833364;35;85;284;698;1780.06816159672;4;54;33;491;1607.2500023741156;31;81;578;1542;2105.129481955635;
GRASP;3;50;FBN + InterrouteSwap;10;54;104;42;82;919.5672322816035;136;186;444;601;873.0051742106277;3;53;11;195;851.2122559467554;53;103;490;903;1758.8891335962983;58;108;564;1015;1556.5346388507019;36;86;664;1588;2101.0755113265236;
GRASP;3;50;FBN + IntrarouteSwap;1;31;81;7;20;988.0533837602203;9;59;4;27;893.7910488164736;35;85;32;71;912.8270721930896;3;53;3;53;1890.2428443738686;23;73;26;84;1638.8731344705427;43;93;89;173;2163.5250164390322;
GRASP;3;50;FBN + IntrarouteSwap;2;40;90;16;30;966.0983622743067;4;54;4;36;894.7191740870463;70;120;56;111;913.9394133190254;87;137;60;93;1844.2991686290202;16;66;19;81;1606.7191228807355;9;59;20;122;2171.522351704837;
GRASP;3;50;FBN + IntrarouteSwap;3;27;77;10;26;974.864640682269;18;68;8;36;894.5588086689995;23;73;27;67;915.0984226151068;50;100;37;88;1780.6398361948623;77;127;110;173;1654.4484831796358;37;87;70;171;2129.0520189167346;
GRASP;3;50;FBN + IntrarouteSwap;4;4;54;1;17;977.0848327982824;47;97;26;60;861.1439451349249;50;100;52;110;954.2979258147253;20;70;16;56;1806.843803247918;39;89;64;128;1615.4195029932328;133;183;271;351;2142.791225157048;
GRASP;3;50;FBN + IntrarouteSwap;5;45;95;13;24;956.534424442292;26;76;12;35;924.3405501285646;34;84;26;63;843.6002626206025;42;92;29;68;1857.0861001891599;88;138;119;187;1628.1059229645223;38;88;64;161;2170.1855804874035;
GRASP;3;50;FBN + IntrarouteSwap;6;35;85;9;21;966.8628256531695;31;81;15;38;889.2625063738183;4;54;3;39;957.4189364007443;19;69;17;54;1882.1601780490532;101;151;146;223;1551.1043685849072;22;72;65;180;2152.864881475518;
GRASP;3;50;FBN + IntrarouteSwap;7;9;59;3;17;1002.8710228489356;8;58;3;28;901.1290031974429;37;87;34;71;903.3847798066569;166;216;163;210;1803.5363194012377;1;51;1;61;1647.594127096329;25;75;58;146;2099.440503360668;
GRASP;3;50;FBN + IntrarouteSwap;8;62;112;18;34;986.2740782131502;83;133;48;79;895.7973799498991;5;55;5;48;978.1855591514683;108;158;92;131;1821.746898329506;49;99;75;141;1649.5011927458906;120;170;234;318;2112.174382332857;
GRASP;3;50;FBN + IntrarouteSwap;9;74;124;18;29;919.2391897089395;38;88;19;49;891.30617324579;31;81;22;68;960.930416869755;7;57;8;51;1828.1382385489696;64;114;91;154;1647.1927795565173;40;90;88;178;2193.5672887248083;
GRASP;3;50;FBN + IntrarouteSwap;10;28;78;9;28;1023.6351863756557;25;75;12;38;900.5517878892583;19;69;17;57;914.181833641287;59;109;55;90;1785.848496256137;50;100;74;132;1553.1498415858553;8;58;18;118;2192.051238802093;
GRASP;3;50;FBN + TwoOpt;1;74;124;15;28;942.4690046574523;80;130;37;60;878.7257934174589;46;96;23;56;849.1857967656592;16;66;11;45;1875.834994781462;127;177;118;158;1525.2813074848884;49;99;84;154;2088.159861004944;
GRASP;3;50;FBN + TwoOpt;2;56;106;15;28;920.4362694089579;16;66;5;21;882.0470373957265;88;138;47;71;869.2027161903485;57;107;34;69;1834.4518612650431;21;71;22;69;1545.8519538621708;63;113;92;171;2099.603204023061;
GRASP;3;50;FBN + TwoOpt;3;21;71;4;13;937.0727918261227;57;107;18;34;877.5882898403405;30;80;17;45;906.7910175186562;76;126;37;60;1840.5907971674874;18;68;22;72;1628.8902292665755;19;69;22;84;2092.83939050797;
GRASP;3;50;FBN + TwoOpt;4;33;83;6;14;931.941563585604;70;120;26;50;863.2159099947813;22;72;17;51;910.2328001846536;63;113;30;59;1819.6029429555765;51;101;52;91;1592.153706204923;7;57;11;89;2124.440715880788;
GRASP;3;50;FBN + TwoOpt;5;24;74;7;17;972.1743965701143;28;78;9;30;894.0206834833232;20;70;12;43;910.3364394757616;31;81;20;48;1849.1416283243477;1;51;1;50;1550.2901327151574;1;51;2;77;1975.71112101222;
GRASP;3;50;FBN + TwoOpt;6;31;81;6;17;861.5605700915767;23;73;12;34;890.2223532459022;6;56;4;33;929.4098467019539;60;110;36;65;1859.687029854539;81;131;77;119;1555.5744193210937;8;58;15;88;2127.8628856882256;
GRASP;3;50;FBN + TwoOpt;7;62;112;12;21;936.4529151648109;25;75;9;32;882.2225069844923;39;89;28;60;879.5919013338287;24;74;14;38;1846.1436479922013;40;90;44;94;1592.423524186529;134;184;199;259;2139.6954962318123;
GRASP;3;50;FBN + TwoOpt;8;72;122;13;21;947.3104420883893;10;60;4;20;842.7733210749044;19;69;10;39;818.1769803847849;34;84;16;43;1857.3435422072678;28;78;30;77;1519.6568536715156;57;107;67;140;2110.8332198657467;
GRASP;3;50;FBN + TwoOpt;9;72;122;15;25;939.451614728139;137;187;59;84;889.1245335309553;45;95;26;57;960.5626372955275;1;51;0;30;1872.531936277381;40;90;47;91;1508.0829638884695;36;86;42;112;2033.1388442115588;
GRASP;3;50;FBN + TwoOpt;10;15;65;5;18;953.6360566395522;29;79;10;27;866.1440356283697;2;52;1;31;943.9159541626292;4;54;2;27;1871.5863413551303;24;74;22;78;1579.6163329910285;34;84;48;128;2151.6966540965577;
