;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;S.M;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;5;50;BN + Relocation;Intraroute + Interroute + Relocation + TwoOpt;5821.0;831.8916223532151;3816.0;816.4400271447025;8209.0;779.1480716658449;5284.0;769.4668543831726;28566.0;756.1376204959295;19678.0;744.3390151495398;62329.0;1673.3042694873013;25995.0;1643.915598168586;68841.0;1413.4232218894256;33012.0;1340.4523157394285;143996.0;1973.649868462891;116209.0;1882.8643984258433;
VNS GRASP CONSTRUCTIVE;5;50;BN + Interroute;Intraroute + Interroute + Relocation + TwoOpt;10399.0;855.6279312945633;7704.0;838.7015415016394;22920.0;778.6414533924037;11756.0;761.9909320778016;24579.0;792.7421816583422;17200.0;754.0938687560845;40654.0;1660.575081031679;26819.0;1627.2741186599267;65779.0;1388.3324441359312;46933.0;1371.1845864502095;124761.0;1944.6124084877742;76755.0;1921.534467096649;
VNS GRASP CONSTRUCTIVE;5;50;BN + IntrarouteSwap;Intraroute + Interroute + Relocation + TwoOpt;2054.0;956.7235575330972;1730.0;887.6190246929316;4130.0;912.4361348022709;2316.0;865.6621801953288;3290.0;998.7009553904469;2111.0;891.4528169227568;4193.0;1872.9369206054125;2462.0;1828.6140619875334;5331.0;1725.4204914864265;3264.0;1567.4795703319244;6680.0;2313.636620859442;4721.0;2228.6843276277373;
VNS GRASP CONSTRUCTIVE;5;50;BN + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;1234.0;912.8238912069124;632.0;875.0501155856812;2124.0;894.7385647801335;611.0;855.9057577982458;2149.0;1048.1317417368314;822.0;985.785783746998;2648.0;1895.7348289370548;1040.0;1768.5399387516713;5595.0;1656.8239893658142;1932.0;1567.0466038885754;5188.0;2336.6552368871535;2402.0;2237.4699693727443;
VNS GRASP CONSTRUCTIVE;5;50;FBN + Relocation;Intraroute + Interroute + Relocation + TwoOpt;6579.0;838.8648035362979;5010.0;787.8086948893183;11682.0;777.6161903248501;5176.0;757.266063341935;16698.0;757.2187028451036;12263.0;747.1373268151722;30547.0;1700.6298962700134;15306.0;1676.4629567833217;24167.0;1437.6583121116942;12218.0;1387.5587137995753;64159.0;2005.8966295658865;45603.0;1941.376904645619;
VNS GRASP CONSTRUCTIVE;5;50;FBN + InterrouteSwap;Intraroute + Interroute + Relocation + TwoOpt;3582.0;837.769228314155;1728.0;819.2654956122593;8632.0;773.3905879717131;4427.0;766.4975694787379;8112.0;818.7830960951322;5103.0;778.4950957342169;16475.0;1661.214302698657;10364.0;1645.169274117676;15818.0;1389.0823267496514;6658.0;1343.0930148058326;20308.0;1933.1999835869306;14177.0;1872.898133495297;
VNS GRASP CONSTRUCTIVE;5;50;FBN + IntrarouteSwap;Intraroute + Interroute + Relocation + TwoOpt;1236.0;994.4425953242331;695.0;920.5184521553778;1327.0;897.6632372572321;634.0;817.3784926386626;2044.0;1055.1565942859438;1209.0;936.6584912065559;2070.0;1905.6160722756667;1416.0;1843.3703964067267;3406.0;1648.92474686227;1313.0;1568.887083607861;3552.0;2336.4738863625344;1139.0;2197.500320061771;
VNS GRASP CONSTRUCTIVE;5;50;FBN + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;626.0;954.0033089065346;442.0;861.2861697916877;1509.0;892.0615118304346;969.0;838.1314238686268;1519.0;1067.9326115361348;1107.0;961.195277427009;1839.0;1885.3831596902542;998.0;1811.1315805718475;2171.0;1715.393213308978;1156.0;1660.9326522341735;2486.0;2336.218003350149;774.0;2203.5932173306555;
VNS GRASP CONSTRUCTIVE;5;50;VND + Intraroute + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;2223.0;954.6327966575445;1118.0;843.3939644070613;3352.0;909.0082552951496;1321.0;792.008515838192;4351.0;1077.500906359062;1991.0;926.3468490755813;3730.0;1929.009565649792;2564.0;1787.9149770913523;9456.0;1648.693556982977;4525.0;1592.528975308936;7148.0;2343.8870852018513;3236.0;2275.4011751701055;
VNS GRASP CONSTRUCTIVE;5;50;VND + Intraroute + Interroute + Relocation + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;4425.0;824.7196504001635;3684.0;797.4512901189913;7636.0;772.2427321783615;6478.0;756.9017100820843;13031.0;810.3967650816088;8586.0;746.6897044458785;18475.0;1637.570910016432;11992.0;1616.2478568103315;44117.0;1371.687272260162;19138.0;1318.4106060259412;65566.0;1929.8533381277862;38203.0;1859.433038568482;
VNS GRASP CONSTRUCTIVE;5;50;VND + Interroute + Relocation + Intraroute + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;5761.0;837.0719013184341;3923.0;829.4113509594225;11094.0;768.7255353623325;8423.0;752.9210592274059;15113.0;770.6817036846937;13324.0;744.2280442400832;31790.0;1649.622439892882;15090.0;1637.9376707894266;47065.0;1376.8883230070217;30121.0;1334.1898854838919;62167.0;1922.7131048170231;48513.0;1830.771632717602;
