;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;20;1000;Intraroute + TwoOpt;1547.0;811.6168028319736;1261.0;787.0818888551105;1742.0;778.3856926040221;1434.0;771.4215745984731;1903.0;755.332819090666;1666.0;744.2280442400835;2300.0;1661.756521258516;2055.0;1636.018340815196;3562.0;1404.2892891555778;3031.0;1379.537683404811;5972.0;1963.2769985259852;5338.0;1904.2622971565731;
TABU GRASP IMPROVED;20;1000;Intraroute + Interroute + Relocation + TwoOpt;1580.0;827.4256530729959;1364.0;800.1679783356633;2969.0;776.6401057337645;2381.0;755.5016913246866;4403.0;768.5808049423459;4036.0;759.8795961249047;6044.0;1668.477968754562;5680.0;1627.5650891420746;7474.0;1399.0193412054418;7178.0;1373.7252480436282;14105.0;1990.933249935682;13259.0;1951.8772733611506;
TABU GRASP IMPROVED;20;1000;Interroute + Relocation + Intraroute + TwoOpt;1489.0;834.3754299899141;1224.0;812.2941556266586;2911.0;778.528668888194;2710.0;769.5871540420587;4242.0;771.3784625744743;3809.0;756.271973449053;5971.0;1694.068071829822;5506.0;1667.2387891144972;7038.0;1433.1202379520648;6560.0;1420.0845396444238;13942.0;1995.3817593612753;10517.0;1950.675323794638;
