;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;S.M;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;Intraroute + TwoOpt;824.0;873.8870744831245;590.0;836.9833748734269;1289.0;817.0128979647893;586.0;790.6717603139733;2257.0;811.235810175978;1050.0;769.4032288648164;2233.0;1775.9496554703715;1457.0;1676.641527643117;3206.0;1486.8834935827078;1406.0;1379.8743574615432;6620.0;2057.983795061481;4469.0;1971.4757643164212;
VNS GRASP CONSTRUCTIVE;5;10;BN + Interroute;Intraroute + TwoOpt;457.0;1068.0363873429826;191.0;986.6098537513969;1868.0;893.9851602058325;878.0;846.4189483834692;3020.0;1001.1356735472849;1563.0;868.3265084094988;5679.0;1815.7355854870923;3664.0;1739.6118381729902;6785.0;1682.4067732500705;3028.0;1611.7607315400955;14631.0;2186.9398045578155;6855.0;2088.152890331721;
VNS GRASP CONSTRUCTIVE;5;10;BN + IntrarouteSwap;Intraroute + TwoOpt;92.0;1306.2811407640088;74.0;1123.2885436965335;148.0;1070.0208741772537;115.0;1003.426108290723;201.0;1269.17176622039;150.0;1196.3427611195948;200.0;2183.7173973032145;142.0;2073.330701959308;446.0;2036.414689557791;277.0;1915.5526255239558;681.0;2574.533108480519;443.0;2479.429329312246;
VNS GRASP CONSTRUCTIVE;5;10;BN + TwoOpt;Intraroute + TwoOpt;75.0;1190.9226744864754;53.0;1097.0906326136903;71.0;996.1115732020146;45.0;905.3117087035703;105.0;1344.6422129999014;54.0;1301.8269091235766;107.0;2125.5276841711357;72.0;2045.3986204508956;190.0;1959.9522132123464;148.0;1899.104215983637;307.0;2451.953991060338;207.0;2361.2567567291167;
VNS GRASP CONSTRUCTIVE;5;10;FBN + Relocation;Intraroute + TwoOpt;1571.0;981.0981289711104;1084.0;899.5455635942515;2642.0;858.8855948198203;1770.0;796.0928255951644;3964.0;878.4231825233112;2600.0;808.8896510675704;6594.0;1922.1484741789839;3749.0;1788.1528139487457;7893.0;1724.0843408996857;4442.0;1642.7788710916097;13659.0;2210.6506382671587;8085.0;2065.071401219177;
VNS GRASP CONSTRUCTIVE;5;10;FBN + InterrouteSwap;Intraroute + TwoOpt;662.0;994.9355924793838;379.0;918.3272862524475;1709.0;939.7369782867029;898.0;904.0522141008104;3251.0;967.0464001905286;1480.0;842.1673377912022;4780.0;1795.7521776363956;3488.0;1717.5783673609292;4740.0;1760.0002135352847;1303.0;1538.1354046696274;9641.0;2223.7197090919003;6296.0;2103.1107115101217;
VNS GRASP CONSTRUCTIVE;5;10;FBN + IntrarouteSwap;Intraroute + TwoOpt;187.0;1201.165962522442;124.0;1109.4994791358777;224.0;1089.9395759775725;182.0;1035.101876032832;330.0;1286.0711085905764;116.0;1133.163459129114;268.0;2228.5226642070015;175.0;2171.5887250925302;430.0;2031.523095386834;404.0;1834.336738943602;636.0;2654.7658269821886;493.0;2552.9031106097077;
VNS GRASP CONSTRUCTIVE;5;10;FBN + TwoOpt;Intraroute + TwoOpt;64.0;1220.8816925473104;39.0;1121.7647758720702;113.0;1095.8231552322825;77.0;1064.7162754092174;169.0;1315.37646583281;118.0;1209.3204327784513;127.0;2073.507255705522;92.0;1984.8091798132484;196.0;2051.9106507408287;134.0;1953.0475501930352;228.0;2504.198885440875;174.0;2347.47593154795;
VNS GRASP CONSTRUCTIVE;5;10;VND + Intraroute + TwoOpt;Intraroute + TwoOpt;304.0;1252.4562449082418;242.0;1137.6704455669076;444.0;1077.9034514412713;350.0;1013.4654973408649;568.0;1288.5862900276331;484.0;1240.1974287429246;598.0;2191.7160775952875;484.0;2086.0706038742187;890.0;1971.510751519091;802.0;1864.479115441377;1440.0;2522.925857365969;1198.0;2424.4541594254956;
VNS GRASP CONSTRUCTIVE;5;10;VND + Intraroute + Interroute + Relocation + TwoOpt;Intraroute + TwoOpt;2127.0;883.2754721547602;1449.0;831.8445117215986;6241.0;781.4297268860632;3811.0;756.0023354288073;7932.0;858.294353841239;5289.0;773.0786648304168;14000.0;1709.878366101883;10303.0;1667.0599780998464;21116.0;1442.807050696153;13742.0;1370.9101080965913;37785.0;2026.618511007407;25773.0;1968.8924114341064;
VNS GRASP CONSTRUCTIVE;5;10;VND + Interroute + Relocation + Intraroute + TwoOpt;Intraroute + TwoOpt;3601.0;857.9150356397591;2699.0;831.8445117215986;7135.0;782.2710641671971;6035.0;773.745568690747;11179.0;788.0558855970545;6460.0;745.7547849593118;17603.0;1672.3905754977798;10367.0;1641.5234819897469;23843.0;1433.2176517428302;17297.0;1372.9174379221045;40055.0;2035.9502298263462;30862.0;1991.0944699402592;
