;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;25;2000;Intraroute + TwoOpt;1582.0;839.1420403358185;1204.0;815.6760190346216;1867.0;773.9696189929829;1478.0;765.8756990793655;1955.0;751.8462827723965;1621.0;745.8657558687684;2463.0;1674.6689051835824;2128.0;1654.6787409098404;3987.0;1398.624778275991;3366.0;1382.0340891517665;6031.0;1946.8771563109217;5584.0;1925.095484842454;
TABU GRASP IMPROVED;25;2000;Intraroute + Interroute + Relocation + TwoOpt;1508.0;816.5097787999473;1132.0;791.9756365109175;3121.0;770.7848171575195;2583.0;757.7152522805771;4439.0;779.1240430037071;4106.0;765.4922988561469;6167.0;1675.361483616837;5585.0;1645.5606971068605;7857.0;1419.6760788845882;6546.0;1371.084245831551;14473.0;1979.626350524454;14188.0;1941.3730648492706;
TABU GRASP IMPROVED;25;2000;Interroute + Relocation + Intraroute + TwoOpt;1605.0;821.2152847486202;1465.0;792.1757372996468;2984.0;771.9247684043623;2559.0;767.323311320935;4467.0;770.3387870964732;4162.0;759.7969943927413;6157.0;1665.2910413974903;5664.0;1622.0019225874387;7382.0;1425.5760813713994;6905.0;1398.1832114671638;11942.0;1969.9219022109162;8694.0;1914.7203709174883;
