;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;S.M;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;3;10;BN + Relocation;Intraroute + TwoOpt;640.0;901.8895097865039;357.0;813.5283473671386;996.0;816.9627513570908;617.0;797.5594321310742;1970.0;772.9679679008289;1761.0;762.8967251137275;2904.0;1733.7585657247205;2092.0;1655.1744397947107;5688.0;1441.9220305741048;4469.0;1416.5608446086474;13064.0;2005.8654603050504;10641.0;1973.006968185304;
VNS GRASP CONSTRUCTIVE;3;10;BN + Interroute;Intraroute + TwoOpt;991.0;991.6899222364227;186.0;884.5642124619983;2128.0;912.2238098289465;1016.0;866.7624561708208;2490.0;975.4025400160599;783.0;870.1396907609299;3372.0;1839.5390669801302;1579.0;1776.6209907260225;7982.0;1608.7545395873653;3767.0;1539.8346713356077;14151.0;2110.072112603901;5440.0;1996.5373699782526;
VNS GRASP CONSTRUCTIVE;3;10;BN + IntrarouteSwap;Intraroute + TwoOpt;87.0;1155.718838646827;67.0;1055.0246005569188;162.0;1032.5152932435324;91.0;993.3652422237038;164.0;1040.5244950236042;123.0;1003.0942061629651;143.0;1981.647718695803;114.0;1926.3152994440914;429.0;1828.740767270168;258.0;1741.1334541624751;556.0;2335.2277862184146;318.0;2201.693355860469;
VNS GRASP CONSTRUCTIVE;3;10;BN + TwoOpt;Intraroute + TwoOpt;46.0;1141.5569440389725;19.0;1061.641571346756;98.0;1008.480576217879;58.0;917.276505910683;92.0;1029.4962248197971;63.0;1003.7685043639156;109.0;1988.2563385658643;78.0;1882.9531472771093;158.0;1756.0158190127422;146.0;1688.3758461588284;210.0;2287.378056705482;168.0;2229.63309174724;
VNS GRASP CONSTRUCTIVE;3;10;FBN + Relocation;Intraroute + TwoOpt;577.0;985.652545631778;219.0;860.5993873507418;3449.0;813.1180612006242;2159.0;784.939161937091;4447.0;897.4432880330675;2339.0;824.5685119404909;3486.0;1870.1404311563424;1786.0;1815.3784387318556;10084.0;1526.0984084814518;4953.0;1419.7364738069496;14350.0;2146.0263601087804;7510.0;2093.8356717503634;
VNS GRASP CONSTRUCTIVE;3;10;FBN + InterrouteSwap;Intraroute + TwoOpt;511.0;986.5704118356252;263.0;907.4135890871275;2755.0;902.714070260284;1187.0;822.3892983811269;3647.0;936.234314513524;789.0;856.9458491721808;4196.0;1798.0937952649706;2881.0;1715.202104998093;3346.0;1568.3271447304746;1967.0;1470.9830054398662;9834.0;2197.998099037697;5120.0;2149.3555696530684;
VNS GRASP CONSTRUCTIVE;3;10;FBN + IntrarouteSwap;Intraroute + TwoOpt;146.0;1187.5649770309813;66.0;1074.6392289853763;147.0;1011.0717882565984;100.0;959.2025865654568;248.0;1154.632344687359;86.0;1079.954259477873;189.0;1999.8906761342926;146.0;1909.8124987997646;481.0;1736.580248655362;305.0;1676.9782348564206;445.0;2338.4930872921555;262.0;2226.1725562422316;
VNS GRASP CONSTRUCTIVE;3;10;FBN + TwoOpt;Intraroute + TwoOpt;50.0;1121.5318831431116;22.0;1011.6623207708506;84.0;963.8482259578644;62.0;940.0123630735336;105.0;996.3925137063072;56.0;868.9479816652257;109.0;1961.4956583859434;91.0;1795.3736910141222;168.0;1751.8116759121651;134.0;1695.7007364344547;200.0;2342.2567654403174;179.0;2278.625155195363;
VNS GRASP CONSTRUCTIVE;3;10;VND + Intraroute + TwoOpt;Intraroute + TwoOpt;238.0;1070.7628174436556;209.0;961.6032320320014;361.0;1025.2110267078492;285.0;939.6869958941817;476.0;1200.337934448103;410.0;1134.1814501098052;518.0;2008.4337882892476;415.0;1883.2762723187109;876.0;1810.2857874488534;635.0;1708.5183063561753;1294.0;2292.0896787699676;1014.0;2168.9277565781076;
VNS GRASP CONSTRUCTIVE;3;10;VND + Intraroute + Interroute + Relocation + TwoOpt;Intraroute + TwoOpt;2244.0;840.0514578305435;1586.0;819.5792145472425;4591.0;788.8362863718579;3152.0;768.2209790969148;5062.0;755.1517205658545;3808.0;747.6326435715214;12124.0;1661.9863126002758;5131.0;1642.6675637543988;18474.0;1418.8758708501796;14956.0;1330.688109945545;30532.0;1935.1864114250754;18192.0;1870.3521048279931;
VNS GRASP CONSTRUCTIVE;3;10;VND + Interroute + Relocation + Intraroute + TwoOpt;Intraroute + TwoOpt;3103.0;829.8922106287912;2034.0;822.19329174304;8262.0;781.1871823504864;6527.0;765.6692676834589;8176.0;828.8584160611512;4574.0;762.1705401116253;12628.0;1678.5834410585983;10856.0;1645.256657529988;34456.0;1396.7896760626572;28808.0;1361.5718901729904;47158.0;1957.2838443939902;34248.0;1880.5976086958049;
