;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;S.M;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;5;50;BN + Relocation;Intraroute + TwoOpt;2644.0;834.8369304212827;1493.0;826.737685746981;5011.0;763.1343130960927;3164.0;752.0679619046455;9172.0;813.8177407220131;4875.0;750.5281609738774;22543.0;1723.7741437831505;12362.0;1690.8304904709287;49701.0;1399.0569856314364;32341.0;1372.726395177528;73017.0;1990.0968156661038;52971.0;1908.3621735051836;
VNS GRASP CONSTRUCTIVE;5;50;BN + Interroute;Intraroute + TwoOpt;4074.0;936.5075998312216;2202.0;874.7962696411469;10731.0;864.5973623069309;5193.0;800.1947786580029;20850.0;896.3226908224864;12807.0;797.6076092043835;22621.0;1703.701185334806;12595.0;1648.010477715016;38101.0;1513.267186987809;17057.0;1386.7693246716585;81223.0;2070.044521345775;62078.0;1981.2956196559962;
VNS GRASP CONSTRUCTIVE;5;50;BN + IntrarouteSwap;Intraroute + TwoOpt;398.0;1247.7955735842452;332.0;1219.120520069654;630.0;1073.6186692461238;380.0;1035.86985319338;802.0;1288.0792017749716;401.0;1190.1165927590814;538.0;2185.027930892181;199.0;2068.137964947075;1569.0;1951.6425868614879;1275.0;1864.8652576970258;1737.0;2554.662210835762;898.0;2491.7243831032442;
VNS GRASP CONSTRUCTIVE;5;50;BN + TwoOpt;Intraroute + TwoOpt;230.0;1220.259389429605;160.0;1091.957713421706;278.0;1056.8337183879598;216.0;996.9441644468192;370.0;1237.5539364616557;216.0;1141.9769646581526;442.0;2207.9742197251444;368.0;2141.934963561243;721.0;2048.4645212237;336.0;1845.5608915386588;1038.0;2477.7332013475693;724.0;2385.9027544947703;
VNS GRASP CONSTRUCTIVE;5;50;FBN + Relocation;Intraroute + TwoOpt;5555.0;910.3598450231115;3461.0;834.4700393545579;11107.0;788.9768041987769;8550.0;768.3535253264406;12236.0;892.6509513480007;6437.0;770.643732621951;18349.0;1918.3421740081078;8763.0;1787.1692915017213;39059.0;1552.6154650427304;12470.0;1409.0328090964279;75165.0;2139.5605850453417;50069.0;2002.5735770071608;
VNS GRASP CONSTRUCTIVE;5;50;FBN + InterrouteSwap;Intraroute + TwoOpt;2450.0;978.9435066543931;1086.0;859.6375201615813;9746.0;861.1364122425535;4240.0;783.1349707061582;11499.0;964.0561956150605;7393.0;884.7766292251509;13819.0;1781.0534116907286;8201.0;1729.8565646003462;22271.0;1498.1023834494597;14734.0;1438.2186794648262;26231.0;2024.6746896613029;21219.0;1918.1240587861057;
VNS GRASP CONSTRUCTIVE;5;50;FBN + IntrarouteSwap;Intraroute + TwoOpt;237.0;1199.1190841589319;152.0;1100.836597102018;399.0;1100.3237230625862;305.0;1058.4830969886414;678.0;1346.7163317067548;345.0;1236.2360178573028;417.0;2174.7550120665464;261.0;2065.9465179163135;1021.0;1979.1720645034468;697.0;1872.1151983806417;1200.0;2556.5126434797266;582.0;2423.938792324896;
VNS GRASP CONSTRUCTIVE;5;50;FBN + TwoOpt;Intraroute + TwoOpt;133.0;1218.5633156867586;106.0;1156.222349071583;171.0;1053.6920981190729;132.0;1002.1513551327481;308.0;1351.0210682711586;204.0;1226.4872749158576;226.0;2107.0815460753483;183.0;2020.1360376277714;390.0;1960.3890067991101;344.0;1871.3864141510394;557.0;2512.6670563998277;341.0;2435.7945379131806;
VNS GRASP CONSTRUCTIVE;5;50;VND + Intraroute + TwoOpt;Intraroute + TwoOpt;525.0;1193.9241477575138;448.0;1096.6857248957565;939.0;1056.3164521714777;665.0;1020.2700443226215;1108.0;1283.475863867247;693.0;1172.4830044195137;915.0;2111.735162918532;692.0;1930.088848944532;1682.0;1945.6781372355035;1287.0;1793.1296637325681;2532.0;2511.8035536054376;1841.0;2435.944086315605;
VNS GRASP CONSTRUCTIVE;5;50;VND + Intraroute + Interroute + Relocation + TwoOpt;Intraroute + TwoOpt;2923.0;823.2029095452505;1789.0;787.0818888551104;8156.0;772.6416004265069;3012.0;752.7562637147803;6716.0;794.7097107144998;4877.0;744.3390151495399;14822.0;1657.5355914928991;9045.0;1632.1268937390025;19638.0;1365.3818039530724;15863.0;1334.5345663610767;29475.0;1938.8436093663306;23590.0;1888.0073024623005;
VNS GRASP CONSTRUCTIVE;5;50;VND + Interroute + Relocation + Intraroute + TwoOpt;Intraroute + TwoOpt;5147.0;836.5666002745386;4314.0;831.0185746147714;8545.0;789.651475967232;2720.0;754.4048069798607;13028.0;771.7193857763507;8865.0;744.3390151495398;23438.0;1666.6600669691718;16292.0;1644.0428517816297;37258.0;1386.317647026162;21661.0;1340.533317570637;53224.0;1916.0341128210705;34561.0;1859.8720322583395;
