;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;I.W.I;L.S;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
MULTIBOOT;50;BN + Relocation;5621.0;830.3437048230492;4072.0;822.9693196774244;17920.0;764.2927106780753;8858.0;758.9012310542649;21849.0;759.8868082169013;16678.0;745.2661817545502;34583.0;1703.9783332519935;22634.0;1669.2748166761228;54053.0;1424.65581348543;32861.0;1388.236029503243;113983.0;1966.1605653174443;81118.0;1929.342873854403;
MULTIBOOT;50;BN + Interroute;2831.0;921.4036784872076;1579.0;910.1007751157917;7086.0;848.1664740256368;5518.0;832.9813354799949;9328.0;922.9852553225626;8160.0;895.1034569382053;20816.0;1763.4637452659517;12652.0;1735.7967936809696;30358.0;1548.1901978435726;20286.0;1504.459344790281;78894.0;2148.943181247968;41142.0;2144.8183149889865;
MULTIBOOT;50;BN + IntrarouteSwap;432.0;1220.3775050485801;312.0;1193.2374967487956;1103.0;1150.0521863472839;811.0;1131.2133654520446;2041.0;1530.815177982054;1710.0;1500.75964984881;1595.0;2341.520965266279;1102.0;2299.735451202911;2217.0;2212.7598381697544;1800.0;2185.7045490090895;4062.0;3027.015317235852;2513.0;2952.001815502729;
MULTIBOOT;50;BN + TwoOpt;427.0;1164.5683126147353;304.0;1115.154200678068;653.0;1106.219134655193;435.0;1093.6176239273216;1122.0;1493.9996243688927;609.0;1473.991421952578;1265.0;2295.069607599053;842.0;2256.2674262852756;1538.0;2119.554405348267;1218.0;2035.1033941093506;2847.0;2905.339842277978;2176.0;2862.5377078073275;
MULTIBOOT;50;FBN + Relocation;2276.0;873.7711018585378;2012.0;835.5058437500819;15712.0;791.6116903395352;8153.0;782.5776613277417;20714.0;802.699477458319;12107.0;773.8359526450274;21656.0;1806.565015270205;14359.0;1730.0107182105244;69450.0;1490.1345431106918;48957.0;1469.8287927062738;117524.0;2098.3377662978755;82684.0;2054.685831717915;
MULTIBOOT;50;FBN + InterrouteSwap;1506.0;928.8006683914388;989.0;884.126199556858;5904.0;826.2143912691203;3537.0;810.3180866847595;9484.0;894.981812795437;6267.0;837.2936137286332;25380.0;1745.27732826473;9695.0;1712.0854905036606;63435.0;1555.7571213321824;48042.0;1511.0846727472444;150207.0;2110.5137442755818;103364.0;2079.1791474712936;
MULTIBOOT;50;FBN + IntrarouteSwap;1880.0;1222.742906636368;1379.0;1162.3472754807044;2729.0;1139.6425028368576;2040.0;1103.5958432643577;4131.0;1578.871411606096;3090.0;1515.5722769880713;5003.0;2372.972079457578;3838.0;2341.3922568804396;6610.0;2231.6874274463653;5087.0;2191.537619930299;16281.0;3028.757965916473;10522.0;2954.8216243568477;
MULTIBOOT;50;FBN + TwoOpt;849.0;1190.5008575424022;592.0;1163.1448587931866;2449.0;1117.5614005760801;1646.0;1098.570466327689;3626.0;1493.7494306520507;2497.0;1468.5224199376373;4175.0;2271.237990456565;2809.0;2242.4213832467863;5855.0;2129.0186051504843;3506.0;2108.0737501913004;8488.0;2889.421843368219;7100.0;2850.139431132378;
