;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;25;500;Intraroute + TwoOpt;1681.0;817.7579623200048;938.0;787.0818888551105;1731.0;770.1185558497616;1493.0;754.8357721135347;1948.0;758.3333928034523;1626.0;746.6084629893492;2418.0;1675.163954293253;1870.0;1654.1747517399551;3488.0;1405.3694465583642;3084.0;1369.4302156743329;5914.0;1973.045363510193;5512.0;1926.3594650968535;
TABU GRASP IMPROVED;25;500;Intraroute + Interroute + Relocation + TwoOpt;1481.0;820.2781820074833;1361.0;787.0818888551105;2987.0;774.8237353123666;2553.0;755.0647098112886;4411.0;775.6552327724941;4209.0;761.9780759115888;6236.0;1693.5198342508957;5984.0;1621.091705323587;7907.0;1418.6182265507516;6911.0;1384.1739418420677;14417.0;1989.0157854361091;13342.0;1951.6367866969274;
TABU GRASP IMPROVED;25;500;Interroute + Relocation + Intraroute + TwoOpt;1630.0;827.2038838521057;1385.0;793.8304323751086;3160.0;768.0419946611958;2493.0;762.0731478966916;4045.0;770.2516816748645;3665.0;763.4216282574058;6184.0;1677.0703920652934;5574.0;1637.7390312118516;7489.0;1404.653177888525;6995.0;1350.5248519558918;12436.0;1976.988674497509;9462.0;1959.1257046637222;
