;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;S.M;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;3;10;BN + Relocation;Intraroute + Interroute + Relocation + TwoOpt;1778.0;850.2749017327158;1413.0;816.7017963698765;3448.0;787.0688999664633;2346.0;769.4277002457062;4715.0;776.5555227675859;3617.0;746.7929224737782;6117.0;1712.2124482021816;3692.0;1689.8213578590896;20492.0;1382.3949425074575;10151.0;1359.0167362145096;31256.0;1958.4513423294989;19773.0;1896.2362570104951;
VNS GRASP CONSTRUCTIVE;3;10;BN + Interroute;Intraroute + Interroute + Relocation + TwoOpt;2290.0;901.4931227993771;1171.0;860.6900599895539;5010.0;811.4357423520108;3153.0;783.0411984277762;10294.0;844.0373526993886;6878.0;809.2656312614176;11871.0;1729.9967896080484;7628.0;1678.5424732259598;26804.0;1451.1527007411362;19959.0;1434.6253288094194;24720.0;2060.4241301214506;9598.0;2007.6905397558712;
VNS GRASP CONSTRUCTIVE;3;10;BN + IntrarouteSwap;Intraroute + Interroute + Relocation + TwoOpt;729.0;1039.673674045402;468.0;1005.5837459074294;830.0;950.6586325838996;382.0;857.1779111194926;2096.0;955.2152982548317;1478.0;914.2662533130273;1354.0;1937.6800398438609;352.0;1811.6693212312625;3159.0;1701.1091346516635;1580.0;1650.2244749309991;1970.0;2318.008380257956;1029.0;2199.2746144859893;
VNS GRASP CONSTRUCTIVE;3;10;BN + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;350.0;1023.4667459291544;194.0;970.0656359909851;633.0;945.8508525276086;270.0;877.3732247753102;584.0;1039.6091322334446;278.0;959.7790571948901;968.0;1917.4537774234857;591.0;1854.8631635727959;1461.0;1754.8502580971137;898.0;1626.1225063878094;1535.0;2250.0845990329517;483.0;2192.155984129854;
VNS GRASP CONSTRUCTIVE;3;10;FBN + Relocation;Intraroute + Interroute + Relocation + TwoOpt;2788.0;904.3699738481034;1406.0;841.0436893520811;9184.0;815.4870770647258;6070.0;762.3294598148993;14434.0;792.1768243472985;9248.0;764.9277161891547;21239.0;1775.6553741814714;9712.0;1690.7092106018147;19282.0;1534.052816989612;10254.0;1416.0044957099203;49481.0;2076.6176491684423;25813.0;2023.4968895885286;
VNS GRASP CONSTRUCTIVE;3;10;FBN + InterrouteSwap;Intraroute + Interroute + Relocation + TwoOpt;2614.0;849.0083016212895;1877.0;822.6565575938134;5573.0;803.0402381976119;4141.0;783.2921410891029;7875.0;827.2373075648917;5127.0;795.0306884814026;10277.0;1745.5950230178819;7723.0;1691.8271019258996;10617.0;1479.1637155263886;7823.0;1441.5447464156225;19143.0;2021.4582724060897;14810.0;1944.318320869451;
VNS GRASP CONSTRUCTIVE;3;10;FBN + IntrarouteSwap;Intraroute + Interroute + Relocation + TwoOpt;839.0;994.5784832865459;434.0;933.6696045609812;711.0;938.3177423585573;456.0;906.808043962285;1073.0;1065.1674117360271;530.0;947.3766142225916;1114.0;1959.5490202736491;861.0;1894.2623286607807;1685.0;1713.0656160454523;1402.0;1595.6197220488125;1598.0;2240.0423028114765;941.0;2143.0860534771687;
VNS GRASP CONSTRUCTIVE;3;10;FBN + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;507.0;1000.1810831193723;230.0;931.4790188859316;609.0;961.3621672944544;191.0;900.1316231227161;532.0;1099.8047831132728;199.0;973.9411377450974;577.0;1922.8211859061817;197.0;1851.975004042899;741.0;1762.816764377943;207.0;1700.051513855955;1634.0;2257.5539939588725;741.0;2172.50612440906;
VNS GRASP CONSTRUCTIVE;3;10;VND + Intraroute + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;1225.0;992.8727543565577;844.0;928.1391818072674;1576.0;917.5234144576992;785.0;848.0057772945148;2534.0;1082.6934617396957;1945.0;974.3880354285228;1436.0;1932.676194220671;1132.0;1853.8118922604385;3796.0;1630.6930970856345;2943.0;1523.946476289105;5609.0;2310.019355482297;3321.0;2109.375430051339;
VNS GRASP CONSTRUCTIVE;3;10;VND + Intraroute + Interroute + Relocation + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;3956.0;842.966779781011;2811.0;831.0185746147714;7337.0;787.4547795514977;5184.0;770.6409896781422;11819.0;751.3666070225511;9504.0;745.26618175455;18251.0;1671.9580223206801;12842.0;1643.1410542390927;23444.0;1419.50218297015;17097.0;1370.5075169547645;59060.0;1927.5078316517454;35967.0;1868.7330478826657;
VNS GRASP CONSTRUCTIVE;3;10;VND + Interroute + Relocation + Intraroute + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;4700.0;824.8078833630628;3675.0;797.4512901189914;10125.0;790.2633590345919;7224.0;749.6941955318417;13086.0;775.7085897398958;9819.0;757.9790508380552;26778.0;1671.8025808492089;14533.0;1626.1625025632875;38030.0;1389.4951832462352;16229.0;1353.598621869076;26833.0;1946.1454505667275;20842.0;1884.7662645897651;
