;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;S.M;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;Interroute + Relocation + Intraroute + TwoOpt;1173.0;822.5312659419344;910.0;787.0818888551104;2546.0;771.4672077918575;1720.0;759.7598125612321;3530.0;848.9187770959554;2249.0;754.8144299238861;8314.0;1711.023002226164;5234.0;1666.9834639712208;15067.0;1455.570627899039;4201.0;1379.3866672148856;23647.0;1990.0992838844272;15700.0;1948.9239565928856;
VNS GRASP CONSTRUCTIVE;5;10;BN + Interroute;Interroute + Relocation + Intraroute + TwoOpt;2800.0;858.0634368527437;1944.0;828.2384216570828;5471.0;851.9517128331287;2577.0;806.6780484778919;13509.0;854.0173880421862;9757.0;801.5307437524729;13010.0;1718.8698432847602;7210.0;1675.1645733362964;15377.0;1482.7678174823839;12789.0;1392.690505401403;32910.0;2014.15541643997;18040.0;1968.303675745365;
VNS GRASP CONSTRUCTIVE;5;10;BN + IntrarouteSwap;Interroute + Relocation + Intraroute + TwoOpt;706.0;1085.7507119768625;427.0;1003.903471252818;1550.0;964.7079935477379;970.0;935.6517499659462;2020.0;1115.4764125460938;1256.0;1033.5926798911871;2230.0;2014.9851887111527;1495.0;1957.0379430352234;1804.0;1932.666072543677;1305.0;1814.0135674864284;3731.0;2427.8736744635985;2098.0;2395.3072245128883;
VNS GRASP CONSTRUCTIVE;5;10;BN + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;837.0;1003.9458138297126;584.0;948.2030339405168;694.0;1007.5738323675532;282.0;961.2959588247064;1253.0;1144.2014013920023;545.0;1042.983054982943;1101.0;2060.3831129784826;374.0;2011.058419901047;1626.0;1838.9965985963893;1094.0;1628.169114491326;2161.0;2384.180716057478;1463.0;2320.189416707079;
VNS GRASP CONSTRUCTIVE;5;10;FBN + Relocation;Interroute + Relocation + Intraroute + TwoOpt;3217.0;901.3643345811136;1822.0;831.5523269958965;7449.0;797.6748927145029;4659.0;763.8022938191243;9618.0;828.448399133062;6026.0;775.8436366585704;14700.0;1720.6647682296566;9726.0;1657.0520826493023;21726.0;1536.0148125598869;13291.0;1416.8420684366918;44435.0;2105.5605617030897;27596.0;2036.7449279261768;
VNS GRASP CONSTRUCTIVE;5;10;FBN + InterrouteSwap;Interroute + Relocation + Intraroute + TwoOpt;1622.0;874.9388662789897;1327.0;844.9073164397414;6489.0;816.4088504321084;3823.0;778.8559129393589;6887.0;845.5507836380108;4735.0;781.3538486557271;8311.0;1698.0665575660746;4696.0;1680.320643735506;18692.0;1461.2131721986896;8927.0;1393.6602352951588;31849.0;2003.3493328671107;21923.0;1980.7009750990999;
VNS GRASP CONSTRUCTIVE;5;10;FBN + IntrarouteSwap;Interroute + Relocation + Intraroute + TwoOpt;729.0;1042.7353872382027;546.0;1000.05536209101;536.0;1008.6045214849349;240.0;965.1252991553536;1378.0;1158.6644462880079;815.0;1002.1976729321163;1081.0;2044.4661632127736;668.0;1955.3411856625014;2731.0;1757.173586849632;1226.0;1652.806206385649;3021.0;2402.0377424321937;1699.0;2215.525881186099;
VNS GRASP CONSTRUCTIVE;5;10;FBN + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;366.0;1122.161930511457;218.0;1085.220825277538;570.0;956.5092962621077;358.0;918.3920500351029;917.0;1152.1126375747258;505.0;1121.1109216845953;1008.0;2038.9976179242524;549.0;1989.7839794048118;1304.0;1887.5214307541478;681.0;1766.2288144667943;1523.0;2374.0103599596346;1032.0;2211.1844656518088;
VNS GRASP CONSTRUCTIVE;5;10;VND + Intraroute + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;1565.0;1016.4723001020247;921.0;886.0771337717381;3487.0;952.6468432762464;1481.0;906.9794617967395;1979.0;1221.6559214463596;914.0;1148.0049453299682;3365.0;1984.2091257294858;1657.0;1889.149415820091;4450.0;1836.425345138655;3710.0;1758.3297678829701;5861.0;2422.970893953935;4541.0;2299.5660318635755;
VNS GRASP CONSTRUCTIVE;5;10;VND + Intraroute + Interroute + Relocation + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;5173.0;828.5205777701016;3200.0;787.8086948893185;8445.0;780.7963148629912;5323.0;766.2764257002368;12753.0;766.9306709745266;8934.0;745.7547849593118;23198.0;1686.0671562962027;17604.0;1649.5768535879406;31989.0;1384.8082286382607;20148.0;1350.5906693560437;64059.0;1936.6149521901323;48060.0;1881.4919510411926;
VNS GRASP CONSTRUCTIVE;5;10;VND + Interroute + Relocation + Intraroute + TwoOpt;Interroute + Relocation + Intraroute + TwoOpt;4700.0;861.1625797306649;3879.0;831.0185746147716;11138.0;787.8689515403873;7742.0;758.7151438654619;13453.0;787.6090347616182;10012.0;755.5173906322599;27129.0;1661.1224232124164;16520.0;1611.810482496591;21828.0;1405.8902542561327;16788.0;1342.9046175360559;51685.0;1916.2602681275762;22543.0;1866.8093629887317;
