;;;;S-N32-K5;;;;S-N43-K6;;;;S-N50-K7;;;;S-N57-K9;;;;S-N62-K8;;;;S-N80-K10;;;;
ALGORITHM;R.C.L;I.W.I;L.S;S.M;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;5;10;BN + Relocation;Intraroute + Interroute + Relocation + TwoOpt;1055.0;841.9892062132889;481.0;804.4640485912929;2652.0;808.4499167864998;1616.0;782.2033533663437;4884.0;762.9045794344961;3452.0;747.9852342426739;6966.0;1670.6283448137037;5813.0;1643.9983771820025;18677.0;1460.5592162567234;8634.0;1349.7261126516876;31205.0;2008.4367179486776;14759.0;1911.374829525039;
VNS GRASP CONSTRUCTIVE;5;10;BN + Interroute;Intraroute + Interroute + Relocation + TwoOpt;2627.0;863.2313421956771;1745.0;838.7150654013476;6100.0;800.650630362341;2277.0;774.0786718951106;10936.0;842.6613091598705;6532.0;773.3279389160105;14507.0;1696.9379654189197;10101.0;1668.1316574524099;24070.0;1474.3211331450207;9327.0;1407.471764833466;25399.0;2075.726988541228;18948.0;2007.0335215525042;
VNS GRASP CONSTRUCTIVE;5;10;BN + IntrarouteSwap;Intraroute + Interroute + Relocation + TwoOpt;761.0;1065.956491634812;407.0;995.7493105812792;1654.0;1007.9995096178302;1043.0;949.0889059914421;1703.0;1204.1077247934145;915.0;1131.5574530846914;1584.0;2030.5132649537518;841.0;1895.239676890873;3457.0;1854.1418924046168;1668.0;1775.4303214299819;4259.0;2441.2924453171972;2409.0;2320.5671269620684;
VNS GRASP CONSTRUCTIVE;5;10;BN + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;596.0;1083.858302774313;423.0;1020.151956658686;1046.0;955.0608036921091;509.0;889.4588359458288;1203.0;1205.8774453495585;451.0;1136.287520711685;1160.0;1990.4807566003005;627.0;1872.8925599059323;1686.0;1867.5562753696831;1043.0;1739.4016852732666;1828.0;2415.154045933196;1230.0;2298.508663613522;
VNS GRASP CONSTRUCTIVE;5;10;FBN + Relocation;Intraroute + Interroute + Relocation + TwoOpt;3451.0;889.8195468411186;1965.0;838.5436630572034;7273.0;803.5335881091399;3829.0;781.8903191603231;8004.0;824.0804156983293;6613.0;784.2980429833659;16369.0;1848.1835754757205;5534.0;1708.410948028418;28352.0;1455.0308813408406;18937.0;1406.2486866733711;43839.0;2088.5192675718877;28383.0;2046.6791656005662;
VNS GRASP CONSTRUCTIVE;5;10;FBN + InterrouteSwap;Intraroute + Interroute + Relocation + TwoOpt;1706.0;878.0411236554588;1117.0;836.6821518230381;5468.0;821.461993152865;2852.0;786.0658665196244;7289.0;825.1493784591612;4117.0;796.9520052893258;10118.0;1694.5252875440062;5724.0;1657.3517341309423;16035.0;1449.1469724628653;10354.0;1380.9769043640936;21490.0;2014.7439518406475;14523.0;1971.9429230488317;
VNS GRASP CONSTRUCTIVE;5;10;FBN + IntrarouteSwap;Intraroute + Interroute + Relocation + TwoOpt;609.0;1050.5379374137697;373.0;966.0242975476502;841.0;1011.9930267912614;384.0;934.1291852254335;1252.0;1195.2701753922809;867.0;1069.9925580995596;1702.0;2045.624903728601;434.0;1928.2605829943975;1450.0;1876.0592804121884;919.0;1730.0895829731705;2718.0;2445.452708853144;1683.0;2294.8721716453047;
VNS GRASP CONSTRUCTIVE;5;10;FBN + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;356.0;1080.2179695833042;233.0;981.2405198148648;824.0;990.987050931228;553.0;960.1141069898141;821.0;1159.5688746342014;357.0;1027.7912330866748;599.0;1998.191305147909;402.0;1873.389675688836;1187.0;1810.7111306848988;483.0;1700.2938413500633;1672.0;2445.2788409214504;1275.0;2342.9884812282826;
VNS GRASP CONSTRUCTIVE;5;10;VND + Intraroute + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;1758.0;1043.9173238792646;694.0;1005.7978552114355;2126.0;1003.0162678947843;1010.0;942.2050602688615;2156.0;1086.4008233155917;1380.0;1063.0636200096608;3297.0;2017.4821250212003;1872.0;1926.3535850383516;5113.0;1863.93681069946;3906.0;1777.6428042293296;5287.0;2444.613650103879;3381.0;2323.740666694623;
VNS GRASP CONSTRUCTIVE;5;10;VND + Intraroute + Interroute + Relocation + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;3531.0;844.5023934399105;2956.0;787.0818888551105;9699.0;782.3020166626958;6108.0;753.3872876161395;10823.0;774.1381046107437;8029.0;745.7547849593119;17167.0;1671.7298641026493;13667.0;1613.569626199381;28209.0;1408.3366841668724;21586.0;1354.7963050802966;51327.0;1952.1201368412053;38477.0;1828.192018875109;
VNS GRASP CONSTRUCTIVE;5;10;VND + Interroute + Relocation + Intraroute + TwoOpt;Intraroute + Interroute + Relocation + TwoOpt;6251.0;841.4437494662404;3927.0;828.700147527223;15247.0;777.6457600281013;9044.0;758.2047437416533;14711.0;822.8911447824212;11604.0;745.1709833657263;27675.0;1700.5536882306455;19315.0;1675.7035293642984;31887.0;1376.7003173640041;23586.0;1335.5437832534597;32273.0;1958.3390695501123;19199.0;1916.0032365340005;
