;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;T.T.P;M.T.I;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
TABU GRASP IMPROVED;25;1000;Intraroute + TwoOpt;1636.0;816.2666495587406;1294.0;787.0818888551105;1640.0;774.3473643480737;1481.0;752.0338752897046;2230.0;755.2255416741664;1635.0;744.2280442400835;2229.0;1661.6317752758107;1876.0;1640.4780282317352;3878.0;1386.8882590025416;3431.0;1369.559845388127;6583.0;1949.3282359524524;5261.0;1914.5371571554724;
TABU GRASP IMPROVED;25;1000;Intraroute + Interroute + Relocation + TwoOpt;1526.0;829.0074454000863;1378.0;806.5431055834244;2890.0;776.0033898743097;2572.0;771.4735089617338;4219.0;770.07092043887;3976.0;760.7898295924862;5856.0;1686.2206794304652;5488.0;1666.760805068751;7123.0;1432.2880702200448;6841.0;1416.3207953669232;14473.0;1999.2018007517877;13358.0;1965.6462269867022;
TABU GRASP IMPROVED;25;1000;Interroute + Relocation + Intraroute + TwoOpt;1546.0;836.7467481936826;1243.0;788.4145716399886;2970.0;778.1055077971893;2830.0;766.1608451288894;4059.0;772.4415182061857;3848.0;767.3389781324643;6304.0;1680.6178580773092;5250.0;1663.3728279954767;7560.0;1418.5726114763931;6761.0;1365.9065783680842;13264.0;1969.720063804233;10143.0;1861.068282215868;
